"Tabela 6579 - População residente estimada"
"Variável - População residente estimada"
"Nível";"Cód.";"UF e Município, em ordem de código de UF e nome de Município";"Ano"
"Nível";"Cód.";"UF e Município, em ordem de código de UF e nome de Município";"2011";;"2021"
"UF";"11";"Rondônia";"1576455";"Pessoas";"1815278";"Pessoas"
"MU";"1100015";"  Alta Floresta D'Oeste";"24228";"Pessoas";"22516";"Pessoas"
"MU";"1100379";"  Alto Alegre dos Parecis";"12825";"Pessoas";"13268";"Pessoas"
"MU";"1100403";"  Alto Paraíso";"17444";"Pessoas";"22258";"Pessoas"
"MU";"1100346";"  Alvorada D'Oeste";"16625";"Pessoas";"13807";"Pessoas"
"MU";"1100023";"  Ariquemes";"91570";"Pessoas";"111148";"Pessoas"
"MU";"1100452";"  Buritis";"32899";"Pessoas";"41043";"Pessoas"
"MU";"1100031";"  Cabixi";"6221";"Pessoas";"5067";"Pessoas"
"MU";"1100601";"  Cacaulândia";"5764";"Pessoas";"6307";"Pessoas"
"MU";"1100049";"  Cacoal";"78959";"Pessoas";"86416";"Pessoas"
"MU";"1100700";"  Campo Novo de Rondônia";"12758";"Pessoas";"14391";"Pessoas"
"MU";"1100809";"  Candeias do Jamari";"20292";"Pessoas";"28068";"Pessoas"
"MU";"1100908";"  Castanheiras";"3527";"Pessoas";"2923";"Pessoas"
"MU";"1100056";"  Cerejeiras";"16939";"Pessoas";"16088";"Pessoas"
"MU";"1100924";"  Chupinguaia";"8515";"Pessoas";"11755";"Pessoas"
"MU";"1100064";"  Colorado do Oeste";"18338";"Pessoas";"15213";"Pessoas"
"MU";"1100072";"  Corumbiara";"8655";"Pessoas";"7052";"Pessoas"
"MU";"1100080";"  Costa Marques";"14023";"Pessoas";"19255";"Pessoas"
"MU";"1100940";"  Cujubim";"16570";"Pessoas";"27131";"Pessoas"
"MU";"1100098";"  Espigão D'Oeste";"28963";"Pessoas";"33009";"Pessoas"
"MU";"1101005";"  Governador Jorge Teixeira";"10272";"Pessoas";"7130";"Pessoas"
"MU";"1100106";"  Guajará-Mirim";"41934";"Pessoas";"46930";"Pessoas"
"MU";"1101104";"  Itapuã do Oeste";"8700";"Pessoas";"10819";"Pessoas"
"MU";"1100114";"  Jaru";"51883";"Pessoas";"51469";"Pessoas"
"MU";"1100122";"  Ji-Paraná";"117363";"Pessoas";"131026";"Pessoas"
"MU";"1100130";"  Machadinho D'Oeste";"31780";"Pessoas";"41724";"Pessoas"
"MU";"1101203";"  Ministro Andreazza";"10277";"Pessoas";"9461";"Pessoas"
"MU";"1101302";"  Mirante da Serra";"11781";"Pessoas";"10691";"Pessoas"
"MU";"1101401";"  Monte Negro";"14204";"Pessoas";"16158";"Pessoas"
"MU";"1100148";"  Nova Brasilândia D'Oeste";"19883";"Pessoas";"20504";"Pessoas"
"MU";"1100338";"  Nova Mamoré";"23143";"Pessoas";"32184";"Pessoas"
"MU";"1101435";"  Nova União";"7437";"Pessoas";"6822";"Pessoas"
"MU";"1100502";"  Novo Horizonte do Oeste";"10084";"Pessoas";"8125";"Pessoas"
"MU";"1100155";"  Ouro Preto do Oeste";"37702";"Pessoas";"35445";"Pessoas"
"MU";"1101450";"  Parecis";"4902";"Pessoas";"6319";"Pessoas"
