Origem,Destino,Mes,passageiros,cod_origem,cod_destino,Ano
AGUA BOA/MT,CONFRESA/MT,12,2.0,5100201.0,5103353.0,2019
AGUA BOA/MT,SAO FELIX DO ARAGUAIA/MT,3,6.0,5100201.0,5107859.0,2019
AGUA BOA/MT,SAO FELIX DO ARAGUAIA/MT,4,0.0,5100201.0,5107859.0,2019
AGUA BOA/MT,SAO FELIX DO ARAGUAIA/MT,5,5.0,5100201.0,5107859.0,2019
AGUA BOA/MT,SAO FELIX DO ARAGUAIA/MT,6,16.0,5100201.0,5107859.0,2019
AGUA BOA/MT,SAO FELIX DO ARAGUAIA/MT,7,13.0,5100201.0,5107859.0,2019
AGUA BOA/MT,SAO FELIX DO ARAGUAIA/MT,8,20.0,5100201.0,5107859.0,2019
AGUA BOA/MT,SAO FELIX DO ARAGUAIA/MT,9,14.0,5100201.0,5107859.0,2019
AGUA BOA/MT,SAO FELIX DO ARAGUAIA/MT,10,21.0,5100201.0,5107859.0,2019
AGUA BOA/MT,SAO FELIX DO ARAGUAIA/MT,11,11.0,5100201.0,5107859.0,2019
AGUA BOA/MT,SAO FELIX DO ARAGUAIA/MT,12,6.0,5100201.0,5107859.0,2019
AGUA BOA/MT,VARZEA GRANDE/MT,3,3.0,5100201.0,5108402.0,2019
AGUA BOA/MT,VARZEA GRANDE/MT,4,7.0,5100201.0,5108402.0,2019
AGUA BOA/MT,VARZEA GRANDE/MT,5,9.0,5100201.0,5108402.0,2019
AGUA BOA/MT,VARZEA GRANDE/MT,6,13.0,5100201.0,5108402.0,2019
AGUA BOA/MT,VARZEA GRANDE/MT,7,16.0,5100201.0,5108402.0,2019
AGUA BOA/MT,VARZEA GRANDE/MT,8,34.0,5100201.0,5108402.0,2019
AGUA BOA/MT,VARZEA GRANDE/MT,9,20.0,5100201.0,5108402.0,2019
AGUA BOA/MT,VARZEA GRANDE/MT,10,20.0,5100201.0,5108402.0,2019
AGUA BOA/MT,VARZEA GRANDE/MT,11,16.0,5100201.0,5108402.0,2019
AGUA BOA/MT,VARZEA GRANDE/MT,12,14.0,5100201.0,5108402.0,2019
ALMEIRIM/PA,ALMEIRIM/PA,3,3.0,1500503.0,1500503.0,2019
ALMEIRIM/PA,ALMEIRIM/PA,4,7.0,1500503.0,1500503.0,2019
ALMEIRIM/PA,ALMEIRIM/PA,5,13.0,1500503.0,1500503.0,2019
ALMEIRIM/PA,ALMEIRIM/PA,6,4.0,1500503.0,1500503.0,2019
ALMEIRIM/PA,ALMEIRIM/PA,7,8.0,1500503.0,1500503.0,2019
ALMEIRIM/PA,ALMEIRIM/PA,8,17.0,1500503.0,1500503.0,2019
ALMEIRIM/PA,ALMEIRIM/PA,9,9.0,1500503.0,1500503.0,2019
ALMEIRIM/PA,ALMEIRIM/PA,10,54.0,1500503.0,1500503.0,2019
ALMEIRIM/PA,ALMEIRIM/PA,11,40.0,1500503.0,1500503.0,2019
ALMEIRIM/PA,ALMEIRIM/PA,12,8.0,1500503.0,1500503.0,2019
ALMEIRIM/PA,BREVES/PA,3,6.0,1500503.0,1501808.0,2019
ALMEIRIM/PA,BREVES/PA,4,0.0,1500503.0,1501808.0,2019
ALMEIRIM/PA,BREVES/PA,5,0.0,1500503.0,1501808.0,2019
ALMEIRIM/PA,BREVES/PA,6,0.0,1500503.0,1501808.0,2019
ALMEIRIM/PA,BREVES/PA,7,0.0,1500503.0,1501808.0,2019
ALMEIRIM/PA,BREVES/PA,8,0.0,1500503.0,1501808.0,2019
ALMEIRIM/PA,BREVES/PA,9,0.0,1500503.0,1501808.0,2019
ALMEIRIM/PA,BREVES/PA,10,0.0,1500503.0,1501808.0,2019
ALMEIRIM/PA,BREVES/PA,11,0.0,1500503.0,1501808.0,2019
ALMEIRIM/PA,BREVES/PA,12,0.0,1500503.0,1501808.0,2019
ALMEIRIM/PA,PORTO DE MOZ/PA,3,3.0,1500503.0,1505908.0,2019
ALMEIRIM/PA,PORTO DE MOZ/PA,4,21.0,1500503.0,1505908.0,2019
ALMEIRIM/PA,PORTO DE MOZ/PA,5,14.0,1500503.0,1505908.0,2019
ALMEIRIM/PA,PORTO DE MOZ/PA,6,11.0,1500503.0,1505908.0,2019
ALMEIRIM/PA,PORTO DE MOZ/PA,7,33.0,1500503.0,1505908.0,2019
ALMEIRIM/PA,PORTO DE MOZ/PA,8,13.0,1500503.0,1505908.0,2019
ALMEIRIM/PA,PORTO DE MOZ/PA,9,11.0,1500503.0,1505908.0,2019
ALMEIRIM/PA,PORTO DE MOZ/PA,10,49.0,1500503.0,1505908.0,2019
ALMEIRIM/PA,PORTO DE MOZ/PA,11,47.0,1500503.0,1505908.0,2019
ALMEIRIM/PA,PORTO DE MOZ/PA,12,12.0,1500503.0,1505908.0,2019
ALMENARA/MG,BELO HORIZONTE/MG,1,0.0,3101706.0,3106200.0,2019
ALMENARA/MG,BELO HORIZONTE/MG,2,9.0,3101706.0,3106200.0,2019
ALMENARA/MG,BELO HORIZONTE/MG,3,1.0,3101706.0,3106200.0,2019
ALMENARA/MG,BELO HORIZONTE/MG,4,5.0,3101706.0,3106200.0,2019
ALMENARA/MG,DIAMANTINA/MG,1,0.0,3101706.0,3121605.0,2019
ALMENARA/MG,DIAMANTINA/MG,2,8.0,3101706.0,3121605.0,2019
ALMENARA/MG,DIAMANTINA/MG,3,1.0,3101706.0,3121605.0,2019
ALMENARA/MG,DIAMANTINA/MG,4,0.0,3101706.0,3121605.0,2019
ALTA FLORESTA/MT,VARZEA GRANDE/MT,1,2725.0,5100250.0,5108402.0,2019
ALTA FLORESTA/MT,VARZEA GRANDE/MT,2,2272.0,5100250.0,5108402.0,2019
ALTA FLORESTA/MT,VARZEA GRANDE/MT,3,2432.0,5100250.0,5108402.0,2019
ALTA FLORESTA/MT,VARZEA GRANDE/MT,4,2333.0,5100250.0,5108402.0,2019
ALTA FLORESTA/MT,VARZEA GRANDE/MT,5,2614.0,5100250.0,5108402.0,2019
ALTA FLORESTA/MT,VARZEA GRANDE/MT,6,2566.0,5100250.0,5108402.0,2019
ALTA FLORESTA/MT,VARZEA GRANDE/MT,7,3106.0,5100250.0,5108402.0,2019
ALTA FLORESTA/MT,VARZEA GRANDE/MT,8,2920.0,5100250.0,5108402.0,2019
ALTA FLORESTA/MT,VARZEA GRANDE/MT,9,2842.0,5100250.0,5108402.0,2019
ALTA FLORESTA/MT,VARZEA GRANDE/MT,10,2448.0,5100250.0,5108402.0,2019
