cod_cidade,nome_cidade,populacao_2021,area,latitude,longitude,cod_uf,nome_uf,uf,pais,densidade_2021
1100106,Arranjo Populacional Internacional de Guajará-Mirim/Brasil - Guayaramerín/Bolívia,46930.0,24856.877,-10.7889,-65.3296,11,Rondônia,RO,BRA,1.8880086987597033
1100205,Arranjo Populacional de Porto Velho/RO,577020.0,40934.82,-8.76077,-63.8999,11,Rondônia,RO,BRA,14.096067846395806
1200054,Arranjo Populacional Internacional de Assis Brasil/Brasil,7649.0,4979.073,-10.9298,-69.5738,12,Acre,AC,BRA,1.5362297359367898
1200104,Arranjo Populacional Internacional de Cobija/Bolívia - Brasiléia/Brasil,46102.0,5580.848,-10.995,-68.7497,12,Acre,AC,BRA,8.260751771057015
1303007,Arranjo Populacional de Nhamundá/AM,28659.0,25878.709000000003,-2.20793,-56.7112,13,Amazonas,AM,BRA,1.107435459782789
1304062,Arranjo Populacional Internacional de Tabatinga/Brasil - Letícia/Colômbia,68502.0,3266.062,-4.2416,-69.9383,13,Amazonas,AM,BRA,20.97388230841913
1400159,Arranjo Populacional Internacional de Bonfim/Brasil - Ireng/Guiana,12701.0,8079.914,3.36161,-59.8333,14,Roraima,RR,BRA,1.5719226714541765
1501402,Arranjo Populacional de Belém/PA,2247422.0,1541.087,-1.4554,-48.4898,15,Pará,PA,BRA,1458.3355774203533
1507458,Arranjo Populacional de São Geraldo do Araguaia/PA,36066.0,4358.873,-6.39471,-48.5592,15,Pará,PA,BRA,8.274157104370786
1507904,Arranjo Populacional de Soure - Salvaterra/PA,50144.0,3775.9120000000003,-0.73032,-48.5015,15,Pará,PA,BRA,13.279970507787256
1600279,Arranjo Populacional de Laranjal do Jari/AP - Almeirim/PA,102918.0,106246.775,-0.804911,-52.453,16,Amapá,AP,BRA,0.9686694019653773
1600303,Arranjo Populacional de Macapá/AP,647165.0,8105.073,0.034934,-51.0694,16,Amapá,AP,BRA,79.8469057588994
1600501,Arranjo Populacional Internacional de Oiapoque/Brasil,28534.0,23034.392,3.84074,-51.8331,16,Amapá,AP,BRA,1.2387563778544708
1713205,Arranjo Populacional de Miracema do Tocantins/TO,25316.0,5273.52,-9.56556,-48.393,17,Tocantins,TO,BRA,4.800588601162032
1716505,Arranjo Populacional de Pedro Afonso/TO,21036.0,4053.386,-8.97034,-48.1729,17,Tocantins,TO,BRA,5.189735199164353
1721208,Arranjo Populacional de Tocantinópolis/TO - Porto Franco/MA,47114.0,2504.1099999999997,-6.32447,-47.4224,17,Tocantins,TO,BRA,18.814668684682385
2100501,Arranjo Populacional de Alto Parnaíba/MA - Santa Filomena/PI,17489.0,16421.077,-9.10273,-45.9303,21,Maranhão,MA,BRA,1.0650336759275898
2102804,Arranjo Populacional de Carolina/MA,33043.0,8258.933,-7.33584,-47.4634,21,Maranhão,MA,BRA,4.000880016825418
2104057,Arranjo Populacional de Estreito/MA,50146.0,2957.058,-6.56077,-47.4431,21,Maranhão,MA,BRA,16.958071163974463
2105302,Arranjo Populacional de Imperatriz/MA,272903.0,1701.288,-5.51847,-47.4777,21,Maranhão,MA,BRA,160.40964257668307
2107100,Arranjo Populacional de Morros - Axixá/MA,31942.0,1872.583,-2.85379,-44.0357,21,Maranhão,MA,BRA,17.05772187401039
2108207,Arranjo Populacional de Pedreiras/MA,61376.0,553.6759999999999,-4.56482,-44.6006,21,Maranhão,MA,BRA,110.8518339245335
2109205,Arranjo Populacional de Presidente Juscelino - Cachoeira Grande/MA,22463.0,1220.608,-2.91872,-44.0715,21,Maranhão,MA,BRA,18.403123689177853
2109809,Arranjo Populacional de Santa Helena - Turilândia/MA,68941.0,3698.79,-2.24426,-45.29,21,Maranhão,MA,BRA,18.638798093430555
2111300,Arranjo Populacional de São Luís/MA,1453128.0,969.832,-2.53874,-44.2825,21,Maranhão,MA,BRA,1498.3296076021413
2200509,Arranjo Populacional de Amarante/PI - São Francisco do Maranhão/MA,29835.0,3436.344,-6.24304,-42.8433,22,Piauí,PI,BRA,8.682192469671255
2200608,Arranjo Populacional de Angical do Piauí/PI,8951.0,255.64800000000002,-6.08786,-42.74,22,Piauí,PI,BRA,35.01298660658405
2203909,Arranjo Populacional de Floriano/PI,79137.0,5617.393,-6.77182,-43.0241,22,Piauí,PI,BRA,14.087851784626784
2208007,Arranjo Populacional de Picos/PI,84104.0,1017.89,-7.07721,-41.467,22,Piauí,PI,BRA,82.62582400848815
2211001,Arranjo Populacional de Teresina/PI,1042443.0,3154.513,-5.09194,-42.8034,22,Piauí,PI,BRA,330.46083500052146
2211209,Arranjo Populacional de Uruçuí/PI,27389.0,10197.655999999999,-7.23944,-44.5577,22,Piauí,PI,BRA,2.6858132888577533
2304400,Arranjo Populacional de Fortaleza/CE,3695896.0,3070.151,-3.71664,-38.5423,23,Ceará,CE,BRA,1203.8157080873223
2307304,Arranjo Populacional de Juazeiro do Norte/CE,473839.0,2005.096,-7.19621,-39.3076,23,Ceará,CE,BRA,236.3173633581634
2307403,Arranjo Populacional de Jucás - Cariús/CE,43649.0,1976.753,-6.51523,-39.5187,23,Ceará,CE,BRA,22.08116036753201
2311603,Arranjo Populacional de Redenção - Acarape/CE,44378.0,377.991,-4.21587,-38.7277,23,Ceará,CE,BRA,117.40491175715825
2312908,Arranjo Populacional de Sobral/CE,237117.0,2637.2520000000004,-3.68913,-40.3482,23,Ceará,CE,BRA,89.91063425110681
2401859,Arranjo Populacional de Caiçara do Norte/RN,9259.0,514.394,-5.07091,-36.0717,24,Rio Grande do Norte,RN,BRA,17.999821148769232
2408102,Arranjo Populacional de Natal/RN,1386227.0,1191.938,-5.79357,-35.1986,24,Rio Grande do Norte,RN,BRA,1163.0026058402366
2411502,Arranjo Populacional de Santo Antônio/RN,30550.0,494.433,-6.31195,-35.4739,24,Rio Grande do Norte,RN,BRA,61.78794700191937
2412203,Arranjo Populacional de São José de Mipibu - Nísia Floresta/RN,72832.0,597.706,-6.0773,-35.2417,24,Rio Grande do Norte,RN,BRA,121.85254958123224
2503605,Arranjo Populacional de Caiçara - Logradouro/PB,11588.0,166.553,-6.62115,-35.4581,25,Paraíba,PB,BRA,69.57545045721182
2504009,Arranjo Populacional de Campina Grande/PB,513824.0,1383.145,-7.22196,-35.8731,25,Paraíba,PB,BRA,371.4896124412119
2505105,Arranjo Populacional de Cuité - Nova Floresta/PB,30945.0,781.39,-6.47647,-36.1515,25,Paraíba,PB,BRA,39.60250323142093
2505808,Arranjo Populacional de Duas Estradas - Serra da Raiz/PB,6683.0,58.691,-6.68499,-35.418,25,Paraíba,PB,BRA,113.867543575676
2506301,Arranjo Populacional de Guarabira/PB,64326.0,203.29500000000002,-6.85064,-35.485,25,Paraíba,PB,BRA,316.4170294399764
2507309,Arranjo Populacional de Jacaraú/PB,20606.0,331.06100000000004,-6.61453,-35.289,25,Paraíba,PB,BRA,62.242305798629246
2507507,Arranjo Populacional de João Pessoa/PB,1169866.0,1251.265,-7.11509,-34.8641,25,Paraíba,PB,BRA,934.9466340063855
2508901,Arranjo Populacional de Mamanguape - Rio Tinto/PB,69643.0,802.674,-6.8337,-35.1213,25,Paraíba,PB,BRA,86.76374219172416
2510808,Arranjo Populacional de Patos/PB,110775.0,620.05,-7.01743,-37.2747,25,Paraíba,PB,BRA,178.65494718167892
