cod_mun,pib,PIB_agro,PIB_ind,PIB_serv,PIB_pub,hierarquia,nome_hierarquia,CGT,CI,CGP,indice_atracao,ia_vestuario,ia_moveis,ia_saude_bm,ia_saude_a,ia_ensino_sup,ia_cultura,ia_esporte,ia_aeroporto,ia_jornal,ia_transporte,num_leitos
3550308,1105998121,1439179,133977123,702385109,74962355,1A,Grande Metrópole Nacional,6.64374414817801,4.88031615461507,1.76342799356294,4515193.84362385,4595720.96625337,5391512.59699,1396878.28795562,4352398.12631065,1536587.93739565,3279911.90689338,4961079.97349725,6921398.15657369,10841089.070077,1736962.16440325,1.98018697297774
3304557,486465722,345807,63224410,254652826,85783181,1B,Metrópole Nacional,6.28170225656835,4.46215832102648,1.81954393554187,2330126.26404102,1654463.32806702,1867963.80977949,1657043.97833194,2082365.0536611,1424227.40828527,2133006.23497978,3074016.6764424,4164478.25341804,3751796.68663362,1470760.56192266,1.95449265863705
5300108,246426878,1420732,11310504,108491618,95179729,1B,Metrópole Nacional,6.59180694985549,4.40428622901903,2.18752072083646,638270.041922415,450698.910830677,675709.435889636,399907.272716402,668339.645756837,474740.690317108,340860.635771271,564161.184663145,2001564.45769152,206415.616666667,454459.431335485,1.85674543737688
3106200,172656163,333818,38814170,87931414,21072161,1C,Metrópole,5.88007008406407,4.18110007972805,1.69897000433602,3474129.96629439,2711519.35865787,2861479.82380845,2702319.92257307,4975641.56626727,1726805.40586993,1854967.84287044,3824377.81025257,6982679.8724998,5606371.07025632,1373661.41268581,2.06566569080434
4314902,158732865,550201,31902430,83978910,17101146,1C,Metrópole,5.92186847694544,4.22289847260942,1.69897000433602,2766031.00041392,1477310.59638243,1866415.40322112,1775200.73718039,3096728.70817532,1722140.13216449,2216599.21617751,3571380.64178804,5470155.55950036,5086290.35230126,1360983.36384509,2.48420886568788
4106902,145345339,1205602,33032857,69842272,15111382,1C,Metrópole,5.76828282590004,4.16622283457208,1.60205999132796,1449989.74756223,784525.928797171,1037237.85309734,1485367.30301567,2692719.76160281,1205306.67492837,1273645.059655,1457393.29761844,2806678.84030902,1110328.37287762,621105.520918913,2.45446027237833
3509502,130109396,327770,36780918,62297013,8447560,1C,Metrópole,5.22344401980961,3.99299509843134,1.23044892137827,1539677.98571556,1358692.64826789,1511093.95409429,1575028.66526552,2014830.84928677,1368080.42360244,1353793.82099301,964831.456514059,3995803.09935259,321579.406825794,918126.164377721,1.61981290880659
2927408,114777409,159099,31632019,53991928,11456612,1C,Metrópole,5.56694161750392,3.94369232710602,1.6232492903979,2407256.86154646,722535.254511092,589324.124813342,1234412.3860505,4377851.22879922,2069150.63973424,2053292.04050103,2477471.31255719,5869523.3381598,3409062.5247054,725426.930980911,2.45701151944796
2611606,100856026,542263,19358978,49913009,14613672,1C,Metrópole,5.72968951515445,3.98150148814825,1.7481880270062,2041623.39113898,935919.268090483,1323849.44367167,1296374.72518916,3738409.03324955,1244190.49621128,1227639.41761321,2544242.77110446,4422081.24241979,2693875.88526103,492352.933988532,2.95970343434243
2304400,81633411,270945,14976019,43445439,11132704,1C,Metrópole,5.55966249010938,3.93641319971148,1.6232492903979,2577368.92543012,2739758.58731977,2542743.66501196,1685561.12769681,3568218.1913853,1706345.66352327,1951332.78378897,2544812.85315969,4766151.78275375,3213494.08133047,769812.707937848,2.49089148525006
1302603,70296364,212145,25131157,24632349,7887482,1C,Metrópole,5.08464776085473,3.59328606702046,1.49136169383427,1562127.95533321,1768830.76966319,2285891.11896903,1719882.64800421,1857266.19,1860906.40666667,1099842.46400564,865240.109581483,1936625.64666667,1020497.67666667,595668.428125363,1.62763511888448
5208707,67120831,289529,11355316,37822909,8722144,1C,Metrópole,5.35975961641571,3.8546096380958,1.50514997831991,2141160.93535167,3743367.53725237,2461888.2479106,2061210.10281092,3105948.59881776,1544418.66296979,1387220.10900635,1582987.15714472,2230523.89777378,2386075.61051521,733273.715646602,3.28795917138874
3205309,60930559,104831,10875377,30308737,7003530,1C,Metrópole,5.36924555174416,3.86409557342425,1.50514997831991,1236455.27451594,992157.74523031,931295.305694508,1013983.92935944,1627934.15390806,845258.738940573,856501.804391382,1090846.89949774,2481318.63333333,2087288.43556748,435666.090470117,1.94182614777456
1501402,39156155,79609,5292944,21389289,6653458,1C,Metrópole,5.24462342843235,3.64256343710439,1.60205999132796,2597861.08061383,2131841.44505123,2310530.37301372,2394216.44678834,3761152.07849021,2284002.62881387,2127587.34709005,2718515.56032383,3714780.51666667,3240510.94333333,900436.5500992,2.5259863742946
4205407,36466198,573897,4573866,20538201,4630426,1C,Metrópole,5.31680875205302,3.71474876072506,1.60205999132796,1022287.06663504,458611.627441323,425768.531579425,723869.892207152,1529575.33550333,1077361.99607278,699220.717015644,982112.275527447,1880658.79072512,2099166.41263887,331440.785758985,2.74890887608208
3543402,33650332,407755,4571651,22001530,3344091,2A,Capital Regional A,4.74942709912175,3.63548374681491,1.11394335230684,1154127.18061306,1363179.18538913,1391543.56172971,1295166.53182353,1284162.0838734,982554.755378417,1391106.63449768,1299652.31309664,1774726.98333333,135492.165407074,571440.315581047,2.62891032947535
2111300,31236199,71080,5855182,15811268,4115744,2A,Capital Regional A,4.97694117081895,3.48557947698468,1.49136169383427,1600792.02639887,1201259.89486758,1273560.96464908,1254139.19550656,2159366.35115414,2012557.70917814,915797.503287611,1014520.72020197,3123245.10333333,1506607.05333333,675191.292087599,2.66184510522903
2408102,29900924,101544,4058411,15762421,5868202,2A,Capital Regional A,5.04439471003671,3.55303301620244,1.49136169383427,1072632.08011126,912000.332767527,962732.00428517,1058763.20008094,1644674.62,1152808.42613019,816106.891224913,938395.214786888,1748399.19,338540.077940757,569320.678893921,2.39925512104283
5103403,29512411,110131,4427706,16207488,4833016,2A,Capital Regional A,5.17746146583019,3.68609977199592,1.49136169383427,1041109.49861828,903769.068145814,1006394.04321857,1040204.32878321,1567652.43504404,1026056.29279449,884620.786975692,925438.692016192,1867406.8192302,516976.11349324,389774.019986626,2.74303220335552
5002704,25437928,308918,3792766,12943149,4895739,2A,Capital Regional A,5.06260454439449,3.57124285056022,1.49136169383427,734419.135222316,721442.758439971,767683.269276329,822946.032332194,877243.943599028,580988.225224311,550396.24993352,618244.352243234,1387932.74453933,600087.509208267,395046.450760306,2.42629932336846
2507507,25392824,162488,4395704,12541280,4967731,2A,Capital Regional A,4.97580390147668,3.48444220764241,1.49136169383427,702213.925562404,524106.029333489,437989.355476854,633195.166013845,1260484.06286405,793436.347422156,583194.847011528,483259.900559159,1399758.17,474287.313333333,166540.909385597,2.67985891589765
2704302,24736025,509178,3733212,13016183,4040931,2A,Capital Regional A,4.93789886090791,3.44653716707364,1.49136169383427,978405.120388742,727449.047893902,863697.16995461,840329.115014649,1208104.67333333,1003264.84058026,698343.423230658,824800.756666667,1970112.31333333,960096.966666667,417987.658459036,2.20566028705765
2800308,22657962,105593,4249817,11183472,4369617,2A,Capital Regional A,4.94809984789777,3.44294986957786,1.50514997831991,914040.83906528,640916.253863435,723405.431673846,936801.661051371,1330859.14666667,1134567.37457624,687443.474862604,650994.515044569,1742116.82,816290.966666667,334992.446485107,2.22010239889109
2211001,20749142,62662,3064781,10919893,3925303,2A,Capital Regional A,4.91032552453789,3.41896383070362,1.49136169383427,1824430.1627795,1373680.74045837,1589571.36443038,2207720.4204955,3945413.21563346,2060864.12721779,916656.898684154,634283.442255587,3170847.15333333,937195.5,651729.658774468,3.15907578576182
3549904,73015967,148408,24869763,31194286,5713760,2B,Capital Regional B,4.77919230836974,3.6330642726915,1.14612803567824,380144.941739462,479901.924866298,561190.322939182,576511.31035768,585033.474057417,470596.552316512,401760.776513601,340432.295546978,62531.6333333333,56582.6729547868,261795.143397719,1.79618027802838
3552205,38705164,82224,10822138,18024771,3258690,2B,Capital Regional B,4.62368336787722,3.47755533219898,1.14612803567824,549826.131273437,705300.389343662,718207.391010619,833108.216505551,736476.074307918,715799.258133116,670914.506662437,461020.1100402,0.0,312097.508187618,345193.011856802,2.45201647719096
3170206,32536256,556693,6267618,15005187,2682010,2B,Capital Regional B,4.69974236131984,3.585799009013,1.11394335230684,588662.41350285,571680.476251993,712921.779871778,736079.495167674,498479.131960234,692060.018583632,491632.520241308,539515.571623238,1222272.08303353,25193.3,353849.810532396,1.74314706101893
4208203,31226661,298638,4093382,15697653,2968394,2B,Capital Regional B,4.75197157473633,3.75197157473633,1.0,226190.830726281,186357.710874236,226992.18878156,137609.082316054,81711.5408641385,272029.378795909,393786.033064334,173354.591004056,543106.433333333,49700.9744344313,195912.975219261,1.54815861177873
4209102,28421006,136883,8408848,11631476,2754239,2B,Capital Regional B,4.71393552989094,3.5999921775841,1.11394335230684,422424.692948578,461980.099679694,503320.419791029,490146.318869943,507493.69761071,398798.8783104,400133.877317721,321993.980174271,242496.633962534,558346.461460135,339330.728235267,1.74879891071123
4113700,24587714,489241,4271786,13750999,3172162,2B,Capital Regional B,4.71730427665522,3.60336092434838,1.11394335230684,760282.102950947,691557.532924291,625257.011697284,541238.166166126,728781.201002237,657774.687600612,733060.76738995,609745.831412066,1576656.1788737,1270671.06020276,153782.102396399,2.95183202404935
4305108,24310545,420857,6366471,11098447,2559996,2B,Capital Regional B,4.7130619173622,3.59911856505536,1.11394335230684,277705.450020189,667379.987975911,320063.681130031,341650.744090885,315375.757484893,220783.835207166,281816.051936273,210027.793484858,115703.666666667,159135.395758061,144930.104985667,2.33025670658199
4115200,20885111,630094,3599175,11616685,2601135,2B,Capital Regional B,4.68518620286706,3.57124285056022,1.11394335230684,651814.716216725,942873.598682322,603896.543333595,571758.111305835,548852.836990522,964762.350754947,678237.505676358,528524.297002501,1256562.94466695,197825.898127351,217632.033404645,2.73983787068279
4202404,20780114,162125,5841951,9618296,2115030,2B,Capital Regional B,4.65193671120185,3.57275546515422,1.07918124604762,327934.292151121,391280.547093638,372587.056570035,416161.706228049,433123.71196507,508673.631458738,416034.637857747,138001.503893284,0.0,197938.79189458,404183.093381981,1.78183286169119
3549805,19943262,455926,3006665,12542739,2090781,2B,Capital Regional B,4.63776982915583,3.49164179347759,1.14612803567824,962076.184862206,1109398.1670625,1149644.11444155,1140807.72189028,992429.264158498,633042.581491019,928554.305050849,859695.178337901,1885001.52354074,518980.280075513,350894.8191903,3.60650992928444
3136702,15241714,50399,2702681,8264105,2348715,2B,Capital Regional B,4.39155256661093,3.27760921430409,1.11394335230684,555525.011159652,771808.249139076,680236.755966934,655726.675912077,879802.210934657,936498.350721842,711310.729874913,321542.423070592,244719.62,124721.831098604,209891.14347386,4.09462684334695
1100205,15141463,612159,3560076,6003691,3044411,2B,Capital Regional B,4.77669392147815,3.28533222764388,1.49136169383427,465235.519772778,335643.85,356848.88,490774.713333333,703520.266666666,305411.296666667,242445.35,418772.066666667,855048.316666667,656108.95,218109.491135467,3.29597407215947
3506003,13334180,52570,2423360,8314349,1372738,2B,Capital Regional B,4.39338214059386,3.27943878828702,1.11394335230684,536732.567308521,626587.535627163,757800.381296691,639131.553407521,460141.403428652,696797.661955377,628543.624789343,591273.558441779,558267.032503693,186837.643333333,185828.694174767,3.06105344594159
2910800,13107354,61212,2332292,7070541,1659882,2B,Capital Regional B,4.4145388361968,3.30059548388996,1.11394335230684,753953.921895901,1474860.41634544,1556856.07123107,1019590.82897594,902663.500584494,993243.60741302,535650.856589787,315830.635513172,54290.5433333333,17806.4166666667,494757.820042268,2.17080140938134
4204608,12930445,358737,3726845,5593759,1627848,2B,Capital Regional B,4.39262661647404,3.31344537042641,1.07918124604762,208835.808477042,201611.964032262,302959.529485193,347504.143857036,181266.154922134,287866.679322439,273764.608012021,269843.409109114,8571.26666666667,45412.0643319815,155893.07807777,2.33134046896209
4104808,11145804,673711,1677844,6157059,1321538,2B,Capital Regional B,4.45656339486019,3.34262004255335,1.11394335230684,536203.672981841,563291.310797186,535433.883127965,728104.5947369,1095209.03275226,520153.484676713,472471.030732625,409670.669334897,462296.002356941,279789.493742544,273912.612156537,3.07776894620777
4204202,8747639,324458,2038617,4306203,978217,2B,Capital Regional B,4.2449694601362,3.20357677497797,1.04139268515823,453403.119947508,440515.409640248,398701.738928732,282842.267941036,361332.0506557,268271.891185701,423050.035121398,764939.286326956,1337420.82,91168.3524070067,140404.013713398,1.70543391111367
3143302,8739987,126829,1571742,4622804,1484673,2B,Capital Regional B,4.17877557204541,3.06483221973857,1.11394335230684,676351.365502637,677869.384636139,699505.774084943,765233.19014187,936993.218331403,938834.642861142,608766.88439209,432668.563779329,1147952.48333333,47408.277681681,240987.052318767,2.23317951403642
4314100,8398423,162805,1066924,5252648,828606,2B,Capital Regional B,4.46049191085531,3.34654855854847,1.11394335230684,425761.668653713,464838.041547701,468365.571411417,751879.130366235,1007712.2971536,581764.202345717,390069.748614395,121040.809674136,330019.076852857,21827.3566666666,114412.700885885,5.52122002111346
1721000,8108595,54769,913214,4266575,1810763,2B,Capital Regional B,4.63002085111341,3.19865708695442,1.43136376415899,519254.382200659,302125.39838191,374801.4022056,474231.562892136,518220.080919013,700380.936427912,512740.630796833,453568.831907698,1062140.21666667,526127.893539117,184061.100819995,2.61431190145792
2307304,6550276,169698,773979,3600165,1355171,2B,Capital Regional B,4.19882197760321,3.05269394192497,1.14612803567824,767195.255310553,867695.959316836,811303.47,732735.148321667,894575.218787067,814675.004394438,736394.478132744,325269.378370736,1860200.13,9761.73333333333,340096.582818481,2.71224913853185
2604106,6288213,90769,634111,3480849,1227185,2B,Capital Regional B,4.23583133741052,3.12188798510368,1.11394335230684,812154.959710401,1756220.35052169,1081512.73666667,991209.3,830606.593333334,1116488.33535478,1008137.60883632,497336.806417608,0.0,16841.6666666667,483668.434540235,2.58916362169069
2933307,6226153,111386,897520,3467856,1022694,2B,Capital Regional B,4.2125870781239,3.09864372581706,1.11394335230684,732318.676343648,1017876.92666667,913123.349832044,817882.566587621,799469.153333333,860927.140509532,841965.476302132,480199.063333333,1106079.89333333,43814.9333333333,268825.963929138,2.93019755964413
2914802,3859881,30087,651005,2123165,657938,2B,Capital Regional B,3.93951925261861,2.86033800657099,1.07918124604762,403963.677754187,549568.373228769,543457.076666667,751156.885865058,765371.726666667,693373.813333333,265212.276014248,156063.555414166,0.0,2796.78333333333,171120.849528924,2.88145153708752
3525904,65887700,276529,13559248,36267905,3384762,2C,Capital Regional C,4.69063015750784,3.576686805201,1.11394335230684,47382.0771948189,56891.865516404,51467.1746804361,102929.126663649,51224.1062740033,44150.58,48111.0720792057,27451.4716928344,0.0,4418.26666666666,87060.1305972112,1.38520329566574
3548500,61272922,97796,14761645,32235113,7570368,2C,Capital Regional C,4.81105192911632,3.66492389343808,1.14612803567824,120553.255412571,101551.281186745,101681.638144582,131645.426740638,126942.657917575,129756.099438576,137275.074872151,265145.655875299,0.0,140012.887763053,71521.8321870929,1.66572639978597
3302403,24246612,90013,6544578,9881779,4517123,2C,Capital Regional C,4.26997967664532,3.26997967664532,1.0,51314.953391389,19523.9054111177,20124.0581780991,30187.3322707623,13474.25,94551.758550606,29173.4696107472,78965.6553497944,0.0,8896.23333333334,218252.87120943,1.55827489802466
3538709,23141704,231787,5852853,10535418,1796398,2C,Capital Regional C,4.40353230484944,3.2895889525426,1.11394335230684,273000.032954385,464248.867094719,422132.290449739,328197.807567826,294789.065806085,437972.5569818,318840.245720214,210383.931293039,0.0,46214.5531678238,206519.763314457,1.80974659207791
3301009,21173973,232044,6501984,9299772,4001503,2C,Capital Regional C,4.16548174282217,3.05153839051533,1.11394335230684,205239.423398719,181119.21712793,275335.563800141,208455.520694217,187583.417914456,496870.436732338,207381.763742139,130212.166696425,81241.05,51363.1589956691,232831.93828388,3.1507037189424
3501608,18177353,50074,4349430,9389773,1840216,2C,Capital Regional C,4.14934229929126,3.24625231229932,0.903089986991944,34857.5432663338,73851.8778782217,54932.5455807442,37717.9789717748,7918.18015673284,21010.3046732467,65345.8035764188,24956.6934886434,0.0,47302.7680113948,15531.7858817161,1.61956897380265
3306305,15574654,60539,3495310,7098213,3167362,2C,Capital Regional C,4.28443073384452,3.13830269816628,1.14612803567824,329230.484943377,240851.06517918,423797.438037843,562397.08746492,363298.082523089,445442.424144829,325987.488041373,408656.893397876,0.0,228592.53713004,292707.561292398,2.02738529677802
3131307,14951723,56757,5270115,5991438,2104440,2C,Capital Regional C,4.14245204006635,3.10105935490812,1.04139268515823,192725.384637094,174634.633512932,254813.637221708,172447.857668708,167843.292102995,181394.192966321,235610.758886496,196138.119771785,262020.403333333,26168.4317556908,241839.162964713,1.39909624489034
