,EMPRESA_SIGLA,EMPRESA_NOME,EMPRESA_NACIONALIDADE,ANO,MES,Código OACI,Município_Origem,AEROPORTO_DE_ORIGEM_UF,AEROPORTO_DE_ORIGEM_PAIS,AEROPORTO_DE_DESTINO_SIGLA,Município_Destino,AEROPORTO_DE_DESTINO_UF,AEROPORTO_DE_DESTINO_PAIS,NATUREZA,PASSAGEIROS_PAGOS,PASSAGEIROS_GRATIS,ASSENTOS,DECOLAGENS
827329,ACN,AZUL CONECTA LTDA. (EX TWO TAXI AEREO LTDA),BRASILEIRA,2019,1,SBAX,ARAXÁ,MG,BRASIL,SBBH,BELO HORIZONTE,MG,BRASIL,DOMÉSTICA,42.0,0.0,81.0,9.0
827330,ACN,AZUL CONECTA LTDA. (EX TWO TAXI AEREO LTDA),BRASILEIRA,2019,1,SBAX,ARAXÁ,MG,BRASIL,SNPD,PATOS DE MINAS,MG,BRASIL,DOMÉSTICA,0.0,0.0,,
827331,ACN,AZUL CONECTA LTDA. (EX TWO TAXI AEREO LTDA),BRASILEIRA,2019,1,SBAX,ARAXÁ,MG,BRASIL,SNPJ,PATROCÍNIO,MG,BRASIL,DOMÉSTICA,0.0,0.0,18.0,2.0
827332,ACN,AZUL CONECTA LTDA. (EX TWO TAXI AEREO LTDA),BRASILEIRA,2019,1,SBBH,BELO HORIZONTE,MG,BRASIL,SBAX,ARAXÁ,MG,BRASIL,DOMÉSTICA,0.0,0.0,,
827333,ACN,AZUL CONECTA LTDA. (EX TWO TAXI AEREO LTDA),BRASILEIRA,2019,1,SBBH,BELO HORIZONTE,MG,BRASIL,SBBH,BELO HORIZONTE,MG,BRASIL,DOMÉSTICA,0.0,0.0,,
827334,ACN,AZUL CONECTA LTDA. (EX TWO TAXI AEREO LTDA),BRASILEIRA,2019,1,SBBH,BELO HORIZONTE,MG,BRASIL,SBGV,GOVERNADOR VALADARES,MG,BRASIL,DOMÉSTICA,19.0,0.0,81.0,9.0
827335,ACN,AZUL CONECTA LTDA. (EX TWO TAXI AEREO LTDA),BRASILEIRA,2019,1,SBBH,BELO HORIZONTE,MG,BRASIL,SBIP,SANTANA DO PARAÍSO,MG,BRASIL,DOMÉSTICA,26.0,0.0,90.0,10.0
827336,ACN,AZUL CONECTA LTDA. (EX TWO TAXI AEREO LTDA),BRASILEIRA,2019,1,SBBH,BELO HORIZONTE,MG,BRASIL,SBPC,POÇOS DE CALDAS,MG,BRASIL,DOMÉSTICA,13.0,0.0,54.0,6.0
827337,ACN,AZUL CONECTA LTDA. (EX TWO TAXI AEREO LTDA),BRASILEIRA,2019,1,SBBH,BELO HORIZONTE,MG,BRASIL,SBVG,VARGINHA,MG,BRASIL,DOMÉSTICA,8.0,0.0,36.0,4.0
827338,ACN,AZUL CONECTA LTDA. (EX TWO TAXI AEREO LTDA),BRASILEIRA,2019,1,SBBH,BELO HORIZONTE,MG,BRASIL,SNAR,ALMENARA,MG,BRASIL,DOMÉSTICA,7.0,0.0,9.0,1.0
827339,ACN,AZUL CONECTA LTDA. (EX TWO TAXI AEREO LTDA),BRASILEIRA,2019,1,SBBH,BELO HORIZONTE,MG,BRASIL,SNCT,UBAPORANGA,MG,BRASIL,DOMÉSTICA,15.0,0.0,135.0,15.0
827340,ACN,AZUL CONECTA LTDA. (EX TWO TAXI AEREO LTDA),BRASILEIRA,2019,1,SBBH,BELO HORIZONTE,MG,BRASIL,SNDT,DIAMANTINA,MG,BRASIL,DOMÉSTICA,17.0,0.0,63.0,7.0
