nome,area,densidade,Cod,
Rondônia,"  237 590,9 ","   6,58 ",11,RO
Acre,"  164 122,3 ","   4,47 ",12,AC
Amazonas," 1 559 161,7 ","   2,23 ",13,AM
Roraima,"  224 301,0 ","   2,01 ",14,RR
Pará," 1 247 950,0 ","   6,07 ",15,PA
Amapá,"  142 827,9 ","   4,69 ",16,AP
Tocantins,"  277 621,9 ","   4,98 ",17,TO
Maranhão,"  331 935,5 ","   19,81 ",21,MA
Piauí,"  251 576,6 ","   12,40 ",22,PI
Ceará,"  148 920,5 ","   56,76 ",23,CE
Rio Grande do Norte,"  52 810,7 ","   59,99 ",24,RN
Paraíba,"  56 469,5 ","   66,70 ",25,PB
Pernambuco,"  98 146,3 ","   89,63 ",26,PE
Alagoas,"  27 779,3 ","   112,33 ",27,AL
Sergipe,"  21 918,4 ","   94,35 ",28,SE
Bahia,"  564 830,9 ","   24,82 ",29,BA
Minas Gerais,"  586 520,4 ","   33,41 ",31,MG
Espírito Santo,"  46 098,6 ","   76,25 ",32,ES
Rio de Janeiro,"  43 780,2 ","   365,23 ",33,RJ
São Paulo,"  248 197,0 ","   166,25 ",35,SP
Paraná,"  199 316,7 ","   52,40 ",41,PR
Santa Catarina,"  95 703,5 ","   65,29 ",42,SC
Rio Grande do Sul,"  268 781,9 ","   39,79 ",43,RS
Mato Grosso do Sul,"  357 145,8 ","   6,86 ",50,MS
Mato Grosso,"  903 329,7 ","   3,36 ",51,MT
Goiás,"  340 103,5 ","   17,65 ",52,GO
Distrito Federal,"  5 787,8 ","   444,07 ",53,DF
