cod_mun,nome_municipio,cod_arranjo,nome_arranjo,tipo_arranjo
3500105,Adamantina,3500105,Arranjo Populacional de Adamantina - Lucélia/SP,Arranjo populacional
4100202,Adrianópolis,4100202,Arranjo Populacional de Adrianópolis/PR - Ribeira/SP,Arranjo populacional
3500501,Águas de Lindóia,3500501,Arranjo Populacional de Águas de Lindóia/SP,Arranjo populacional
3101508,Além Paraíba,3101508,Arranjo Populacional de Além Paraíba/MG - Sapucaia/RJ,Arranjo populacional
5100300,Alto Araguaia,5100300,Arranjo Populacional de Alto Araguaia/MT,Arranjo populacional
2100501,Alto Parnaíba,2100501,Arranjo Populacional de Alto Parnaíba/MA - Santa Filomena/PI,Arranjo populacional
5200803,Alvorada do Norte,5200803,Arranjo Populacional de Alvorada do Norte - Simolândia/GO,Arranjo populacional
2200509,Amarante,2200509,Arranjo Populacional de Amarante/PI - São Francisco do Maranhão/MA,Arranjo populacional
3501608,Americana,3501608,Arranjo Populacional de Americana - Santa Bárbara d´Oeste/SP,Média concentração urbana considerada na análise - Arranjo populacional
3501905,Amparo,3501905,Arranjo Populacional de Amparo/SP,Arranjo populacional
2200608,Angical do Piauí,2200608,Arranjo Populacional de Angical do Piauí/PI,Arranjo populacional
4300802,Antônio Prado,4300802,Arranjo Populacional de Antônio Prado/RS,Arranjo populacional
5001102,Aquidauana,5001102,Arranjo Populacional de Aquidauana - Anastácio/MS,Arranjo populacional
2800308,Aracaju,2800308,Arranjo Populacional de Aracaju/SE,Grande concentração urbana considerada na análise - Arranjo populacional
4201406,Araranguá,4201406,Arranjo Populacional de Araranguá/SC,Arranjo populacional
3503208,Araraquara,3503208,Arranjo Populacional de Araraquara/SP,Média concentração urbana considerada na análise - Arranjo populacional
2601102,Araripina,2601102,Arranjo Populacional de Araripina/PE,Arranjo populacional
3300209,Araruama,3300209,Arranjo Populacional de Araruama/RJ,Média concentração urbana considerada na análise - Arranjo populacional
3104007,Araxá,3104007,Arranjo Populacional de Araxá/MG,Arranjo populacional
5101308,Arenápolis,5101308,Arranjo Populacional de Arenápolis - Nortelândia/MT,Arranjo populacional
3503802,Artur Nogueira,3503802,Arranjo Populacional de Artur Nogueira/SP,Arranjo populacional
3504107,Atibaia,3504107,Arranjo Populacional de Atibaia/SP,Média concentração urbana considerada na análise - Arranjo populacional
4301602,Bagé,4301602,Arranjo Populacional de Bagé/RS,Média concentração urbana considerada na análise - Arranjo populacional
3548500,Santos,3548500,Arranjo Populacional de Baixada Santista/SP,Grande concentração urbana considerada na análise - Arranjo populacional
3105608,Barbacena,3105608,Arranjo Populacional de Barbacena/MG,Média concentração urbana considerada na análise - Arranjo populacional
3505302,Barra Bonita,3505302,Arranjo Populacional de Barra Bonita - Igaraçu do Tietê/SP,Arranjo populacional
5101803,Barra do Garças,5101803,Arranjo Populacional de Barra do Garças/MT,Arranjo populacional
3506003,Bauru,3506003,Arranjo Populacional de Bauru/SP,Média concentração urbana considerada na análise - Arranjo populacional
1501402,Belém,1501402,Arranjo Populacional de Belém/PA,Grande concentração urbana considerada na análise - Arranjo populacional
3106200,Belo Horizonte,3106200,Arranjo Populacional de Belo Horizonte/MG,Grande concentração urbana considerada na análise - Arranjo populacional
4302105,Bento Gonçalves,4302105,Arranjo Populacional de Bento Gonçalves/RS,Média concentração urbana considerada na análise - Arranjo populacional
3106903,Bicas,3106903,Arranjo Populacional de Bicas/MG,Arranjo populacional
3506508,Birigui,3506508,Arranjo Populacional de Birigui/SP,Média concentração urbana considerada na análise - Arranjo populacional
4202404,Blumenau,4202404,Arranjo Populacional de Blumenau/SC,Média concentração urbana considerada na análise - Arranjo populacional
3507001,Boituva,3507001,Arranjo Populacional de Boituva - Iperó/SP,Arranjo populacional
3300605,Bom Jesus do Itabapoana,3300605,Arranjo Populacional de Bom Jesus do Itabapoana/RJ,Arranjo populacional
5300108,Brasília,5300108,Arranjo Populacional de Brasília/DF,Grande concentração urbana considerada na análise - Arranjo populacional
2904308,Brejões,2904308,Arranjo Populacional de Brejões - Nova Itarana/BA,Arranjo populacional
4202909,Brusque,4202909,Arranjo Populacional de Brusque/SC,Média concentração urbana considerada na análise - Arranjo populacional
3300704,Cabo Frio,3300704,Arranjo Populacional de Cabo Frio/RJ,Média concentração urbana considerada na análise - Arranjo populacional
2904902,Cachoeira,2904902,Arranjo Populacional de Cachoeira - Muritiba - Governador Mangabeira/BA,Arranjo populacional
2603207,Caetés,2603207,Arranjo Populacional de Caetés - Capoeiras/PE,Arranjo populacional
2503605,Caiçara,2503605,Arranjo Populacional de Caiçara - Logradouro/PB,Arranjo populacional
2401859,Caiçara do Norte,2401859,Arranjo Populacional de Caiçara do Norte/RN,Arranjo populacional
5204508,Caldas Novas,5204508,Arranjo Populacional de Caldas Novas/GO,Arranjo populacional
3110608,Cambuí,3110608,Arranjo Populacional de Cambuí/MG,Arranjo populacional
2504009,Campina Grande,2504009,Arranjo Populacional de Campina Grande/PB,Média concentração urbana considerada na análise - Arranjo populacional
3509502,Campinas,3509502,Arranjo Populacional de Campinas/SP,Grande concentração urbana considerada na análise - Arranjo populacional
3301009,Campos dos Goytacazes,3301009,Arranjo Populacional de Campos dos Goytacazes/RJ,Média concentração urbana considerada na análise - Arranjo populacional
4304408,Canela,4304408,Arranjo Populacional de Canela - Gramado/RS,Arranjo populacional
