cod_mun,nome_municipio,cod_arranjo,nome_arranjo,tipo_arranjo
3500105,Adamantina,3500105,Arranjo Populacional de Adamantina - Lucélia/SP,Arranjo populacional
3540853,Pracinha,3500105,Arranjo Populacional de Adamantina - Lucélia/SP,Arranjo populacional
3528908,Mariápolis,3500105,Arranjo Populacional de Adamantina - Lucélia/SP,Arranjo populacional
3520806,Inúbia Paulista,3500105,Arranjo Populacional de Adamantina - Lucélia/SP,Arranjo populacional
3527405,Lucélia,3500105,Arranjo Populacional de Adamantina - Lucélia/SP,Arranjo populacional
4100202,Adrianópolis,4100202,Arranjo Populacional de Adrianópolis/PR - Ribeira/SP,Arranjo populacional
3542800,Ribeira,4100202,Arranjo Populacional de Adrianópolis/PR - Ribeira/SP,Arranjo populacional
3500501,Águas de Lindóia,3500501,Arranjo Populacional de Águas de Lindóia/SP,Arranjo populacional
3527009,Lindóia,3500501,Arranjo Populacional de Águas de Lindóia/SP,Arranjo populacional
3101508,Além Paraíba,3101508,Arranjo Populacional de Além Paraíba/MG - Sapucaia/RJ,Arranjo populacional
3305406,Sapucaia,3101508,Arranjo Populacional de Além Paraíba/MG - Sapucaia/RJ,Arranjo populacional
5219407,Santa Rita do Araguaia,5100300,Arranjo Populacional de Alto Araguaia/MT,Arranjo populacional
5100300,Alto Araguaia,5100300,Arranjo Populacional de Alto Araguaia/MT,Arranjo populacional
2100501,Alto Parnaíba,2100501,Arranjo Populacional de Alto Parnaíba/MA - Santa Filomena/PI,Arranjo populacional
2209203,Santa Filomena,2100501,Arranjo Populacional de Alto Parnaíba/MA - Santa Filomena/PI,Arranjo populacional
5220686,Simolândia,5200803,Arranjo Populacional de Alvorada do Norte - Simolândia/GO,Arranjo populacional
5200803,Alvorada do Norte,5200803,Arranjo Populacional de Alvorada do Norte - Simolândia/GO,Arranjo populacional
2110906,São Francisco do Maranhão,2200509,Arranjo Populacional de Amarante/PI - São Francisco do Maranhão/MA,Arranjo populacional
2200509,Amarante,2200509,Arranjo Populacional de Amarante/PI - São Francisco do Maranhão/MA,Arranjo populacional
3545803,Santa Bárbara d´Oeste,3501608,Arranjo Populacional de Americana - Santa Bárbara d´Oeste/SP,Média concentração urbana considerada na análise - Arranjo populacional
3533403,Nova Odessa,3501608,Arranjo Populacional de Americana - Santa Bárbara d´Oeste/SP,Média concentração urbana considerada na análise - Arranjo populacional
3501608,Americana,3501608,Arranjo Populacional de Americana - Santa Bárbara d´Oeste/SP,Média concentração urbana considerada na análise - Arranjo populacional
3501905,Amparo,3501905,Arranjo Populacional de Amparo/SP,Arranjo populacional
3531209,Monte Alegre do Sul,3501905,Arranjo Populacional de Amparo/SP,Arranjo populacional
2209450,Santo Antônio dos Milagres,2200608,Arranjo Populacional de Angical do Piauí/PI,Arranjo populacional
2200608,Angical do Piauí,2200608,Arranjo Populacional de Angical do Piauí/PI,Arranjo populacional
4310439,Ipê,4300802,Arranjo Populacional de Antônio Prado/RS,Arranjo populacional
4300802,Antônio Prado,4300802,Arranjo Populacional de Antônio Prado/RS,Arranjo populacional
5000708,Anastácio,5001102,Arranjo Populacional de Aquidauana - Anastácio/MS,Arranjo populacional
