codigo_ibge,populacao_2011,populacao_2021,area_2021,nome,uf,densidade_2021
11,1576455,1815278,237765.347,Rondônia,RO,7.634745865637013
12,746386,906876,164173.431,Acre,AC,5.523890159790837
13,3538387,4269995,1559167.878,Amazonas,AM,2.738637102681511
14,460165,652713,223644.53,Roraima,RR,2.9185287920969945
15,7688593,8777124,1245870.7,Pará,PA,7.044971841781013
16,684309,877613,142470.762,Amapá,AP,6.159951611685773
17,1400892,1607363,277423.627,Tocantins,TO,5.793893683035152
21,6645761,7153262,329651.496,Maranhão,MA,21.699467731218792
22,3140328,3289290,251755.481,Piauí,PI,13.065415644317193
23,8530155,9240580,148894.447,Ceará,CE,62.061280230282875
24,3198657,3560903,52809.599,Rio Grande do Norte,RN,67.42908614019206
25,3791315,4059905,56467.242,Paraíba,PB,71.89841147191144
26,8864906,9674793,98067.877,Pernambuco,PE,98.65404754300943
27,3143384,3365351,27830.661,Alagoas,AL,120.92242437216996
28,2089819,2338474,21938.188,Sergipe,SE,106.59376243835636
29,14097534,14985284,564760.429,Bahia,BA,26.53387742929135
31,19728701,21411923,586513.983,Minas Gerais,MG,36.5070972229489
32,3547055,4108508,46074.448,Espirito Santo,ES,89.1710737370093
33,16112678,17463349,43750.425,Rio de Janeiro,RJ,399.15838531854257
35,41587182,46649132,248219.485,São Paulo,SP,187.93501243466042
41,10512349,11597484,199298.981,Paraná,PR,58.19138633729392
42,6317054,7338473,95730.69,Santa Catarina,SC,76.65747525688992
43,10733030,11466630,281707.151,Rio Grande do Sul,RS,40.70407854147799
50,2477542,2839188,357147.995,Mato Grosso do Sul,MS,7.949612036881238
51,3075936,3567234,903207.047,Mato Grosso,MT,3.949519671982807
52,6080716,7206589,340242.856,Goiás,GO,21.180720984778
53,2609998,3094325,5760.784,Distrito Federal,DF,537.136091198698
