cod_mun_origem,cod_mun_destino,total_passagens_2019,total_passagens_2020,tempo_medio_2019,tempo_medio_2020
3550308,3304557,1027294.0,455330.0,59,58
3304557,3550308,1026248.0,455700.0,65,65
4314902,3550308,626155.0,309355.0,98,96
3550308,4314902,626063.0,308367.0,101,100
3550308,2927408,518955.0,286796.0,138,137
2927408,3550308,514890.0,285945.0,149,147
3550308,3106200,503103.0,213790.0,71,70
3106200,3550308,500765.0,213185.0,78,76
3550308,5300108,476663.0,235973.0,101,100
5300108,3550308,475169.0,235381.0,102,101
3550308,4106902,445548.0,174857.0,60,59
4106902,3550308,440816.0,171853.0,64,63
3304557,5300108,405378.0,229264.0,105,106
2611606,3550308,404581.0,287035.0,196,193
5300108,3304557,402319.0,227217.0,102,102
3550308,2611606,401973.0,287374.0,184,181
4205407,3550308,362485.0,179296.0,71,70
3550308,4205407,360890.0,177030.0,74,72
2304400,3550308,341491.0,212186.0,208,208
3550308,2304400,337759.0,213103.0,201,201
3205309,3550308,316984.0,134902.0,94,100
3550308,3205309,316760.0,133316.0,87,92
3550308,5208707,288444.0,120469.0,95,93
5208707,3550308,284951.0,118129.0,97,95
4314902,3304557,244439.0,168391.0,112,109
3304557,4314902,244058.0,169470.0,124,121
3106200,3304557,239606.0,99551.0,63,64
3304557,3106200,239544.0,98014.0,62,63
3304557,4106902,213785.0,121894.0,87,85
4106902,3304557,211166.0,120616.0,81,80
2927408,3304557,184258.0,113748.0,126,127
3304557,2927408,181261.0,112433.0,122,122
5103403,3550308,174183.0,103249.0,135,131
2611606,2304400,174046.0,71275.0,82,79
3550308,5103403,173906.0,102845.0,135,132
5300108,3106200,172644.0,74590.0,74,75
2304400,2611606,172452.0,72002.0,74,73
3106200,5300108,170657.0,74476.0,79,79
4208203,3550308,165589.0,87944.0,63,64
3550308,4208203,165439.0,86948.0,67,67
3205309,3304557,160344.0,93037.0,65,65
3304557,3205309,160329.0,92037.0,63,62
2704302,3550308,155728.0,104243.0,180,179
3550308,2704302,154350.0,105656.0,168,168
2304400,3304557,150720.0,103079.0,192,194
3304557,2304400,150658.0,105169.0,192,192
4314902,4106902,142796.0,66402.0,71,68
2611606,3304557,142499.0,97299.0,174,173
3304557,2611606,142320.0,96641.0,167,165
4106902,4314902,142281.0,65904.0,74,71
1302603,3550308,138163.0,95395.0,234,231
3550308,5002704,136896.0,66930.0,103,104
3550308,1501402,136721.0,82795.0,210,212
3550308,1302603,136326.0,92998.0,229,228
1501402,3550308,135831.0,81291.0,215,214
5002704,3550308,135463.0,66658.0,100,99
5300108,3509502,130797.0,57909.0,98,96
3509502,5300108,128390.0,56472.0,94,94
3550308,3170206,126871.0,38364.0,75,74
3170206,3550308,126771.0,38638.0,75,75
5300108,4314902,122969.0,65672.0,153,153
4314902,5300108,121715.0,65525.0,146,146
2304400,5300108,119705.0,91405.0,156,159
5300108,2304400,119479.0,90053.0,154,155
5300108,2927408,117543.0,56807.0,112,113
2927408,5300108,116585.0,56330.0,114,115
2408102,3550308,115346.0,92581.0,204,204
4205407,3304557,114838.0,64406.0,87,86
3304557,4205407,113879.0,63688.0,96,96
3550308,2408102,113691.0,93000.0,195,194
2800308,3550308,112743.0,72462.0,165,163
2507507,3550308,112667.0,76399.0,200,199
3550308,2507507,112356.0,79981.0,190,189
3550308,2800308,111220.0,72188.0,155,154
1600303,1501402,109578.0,61961.0,55,56
3550308,4108304,108535.0,53325.0,98,99
3550308,4113700,107805.0,,71,
1501402,1600303,107645.0,62467.0,54,55
4108304,3550308,106731.0,52848.0,98,99
4113700,3550308,106510.0,,68,
2611606,5300108,106154.0,88821.0,155,156
5300108,2611606,105665.0,88859.0,151,152
3549805,3550308,105639.0,,65,
3550308,3549805,105358.0,,65,
2925303,3550308,100802.0,,121,
3550308,2925303,100300.0,,110,
3550308,2111300,97679.0,71309.0,200,201
2304400,2927408,96964.0,45703.0,103,105
2111300,3550308,96257.0,69528.0,207,209
2927408,2304400,96144.0,46060.0,105,104
1501402,2304400,94926.0,60313.0,111,110
2304400,1501402,94370.0,60812.0,114,115
4209102,3550308,92778.0,,58,
3550308,4209102,92435.0,,62,
3304557,3509502,92079.0,54748.0,71,68
3509502,3304557,91273.0,55329.0,63,62
2111300,2304400,91187.0,19924.0,76,76
2304400,2111300,90899.0,20438.0,75,77
3550308,2211001,85974.0,62143.0,189,186
2927408,2611606,85689.0,42006.0,80,78
2611606,2927408,85155.0,41944.0,84,83
2211001,3550308,83377.0,61009.0,191,189
5300108,4106902,82126.0,55197.0,112,114
4106902,5300108,81321.0,53875.0,110,111
3106200,2927408,81293.0,50316.0,102,101
2927408,3106200,80977.0,51209.0,102,102
3304557,4208203,80054.0,43191.0,93,95
4208203,3304557,79573.0,43279.0,81,82
1302603,1501402,77301.0,41695.0,124,125
1501402,1302603,77219.0,42017.0,123,124
3304557,5208707,76504.0,61250.0,108,105
5208707,3304557,75054.0,60713.0,103,102
3550308,4115200,72534.0,33735.0,78,79
3543402,3550308,71872.0,,64,
3550308,3543402,71572.0,,63,
2408102,3304557,70947.0,51312.0,187,189
3304557,2408102,69733.0,51370.0,182,183
4115200,3550308,69149.0,30294.0,75,78
4314902,3106200,68382.0,44587.0,129,124
3106200,4314902,67956.0,44409.0,144,139
2913606,3550308,66009.0,,133,
4108304,3304557,65832.0,25061.0,114,112
3550308,2913606,65250.0,,122,
3550308,2307304,64793.0,56378.0,173,173
3304557,4108304,64148.0,25576.0,130,128
2307304,3550308,63354.0,55895.0,179,178
3304557,1302603,62858.0,45993.0,245,244
1302603,3304557,62208.0,44796.0,238,240
1501402,3304557,61502.0,36872.0,208,213
