id,cod_mun_a,cod_mun_b,freq_saida_2016
13026031304260,1302603,1304260,7.5
13021081302603,1302108,1302603,3.0
51038095108402,5103809,5108402,0.0
13000291302603,1300029,1302603,7.5
13000291301308,1300029,1301308,6.0
13003001300805,1300300,1300805,9.0
13013081304260,1301308,1304260,3.0
15039031504802,1503903,1504802,8.0
13019021504802,1301902,1504802,4.5
13019021501402,1301902,1501402,3.5
15012041504604,1501204,1504604,1.5
15021031504604,1502103,1504604,49.5
13019021501808,1301902,1501808,1.5
15005031503903,1500503,1503903,7.0
13019021500503,1301902,1500503,5.5
13026031302801,1302603,1302801,3.0
15039031506005,1503903,1506005,14.0
13019021506005,1301902,1506005,12.5
13012091304260,1301209,1304260,3.0
13026031500404,1302603,1500404,4.0
23001502304400,2300150,2304400,0.0
13019021503101,1301902,1503101,7.5
13034031501402,1303403,1501402,3.5
23044002311603,2304400,2311603,0.0
13034031501808,1303403,1501808,1.5
15014021507706,1501402,1507706,51.0
13019021506807,1301902,1506807,13.5
13009041302603,1300904,1302603,1.5
22031072207405,2203107,2207405,0.0
23012082310100,2301208,2310100,0.0
23021072305100,2302107,2305100,0.0
23046572312304,2304657,2312304,0.0
23051002309805,2305100,2309805,0.0
23051002310100,2305100,2310100,0.0
23073042405603,2307304,2405603,0.0
23091022309805,2309102,2309805,0.0
23098052310100,2309805,2310100,0.0
24040022414506,2404002,2414506,0.0
28033022807303,2803302,2807303,0.0
31112003157708,3111200,3157708,0.0
22001032307304,2200103,2307304,0.0
23073045201108,2307304,5201108,0.0
23073042502805,2307304,2502805,0.0
13034031500503,1303403,1500503,5.5
31082063167202,3108206,3167202,0.0
23084012906899,2308401,2906899,0.0
23073045208707,2307304,5208707,0.0
23084012928109,2308401,2928109,0.0
29158092923704,2915809,2923704,0.0
23073042401008,2307304,2401008,0.0
23072052308401,2307205,2308401,0.0
23001502310100,2300150,2310100,0.0
35224063553807,3522406,3553807,0.0
13034031504802,1303403,1504802,4.5
23084012310605,2308401,2310605,0.0
24071042412005,2407104,2412005,0.0
31112003149200,3111200,3149200,0.0
41096094118204,4109609,4118204,0.0
23073042402006,2307304,2402006,0.0
23012082309805,2301208,2309805,0.0
23101002311603,2310100,2311603,0.0
23083022311108,2308302,2311108,0.0
13019021500404,1301902,1500404,1.0
23014062310100,2301406,2310100,0.0
15051061506005,1505106,1506005,14.0
13034031503101,1303403,1503101,7.5
35027053521200,3502705,3521200,0.0
41182044119954,4118204,4119954,0.0
15005031505106,1500503,1505106,7.0
23012082309102,2301208,2309102,0.0
23021072310100,2302107,2310100,0.0
35239093539103,3523909,3539103,0.0
23090032312304,2309003,2312304,0.0
15031011503903,1503101,1503903,9.0
29091092929057,2909109,2929057,0.0
23012082301406,2301208,2301406,0.0
23014062309805,2301406,2309805,0.0
23021072309102,2302107,2309102,0.0
23051002309102,2305100,2309102,0.0
23091022310100,2309102,2310100,0.0
35226533542800,3522653,3542800,0.0
29081012917359,2908101,2917359,0.0
35027053532827,3502705,3532827,0.0
35045033553005,3504503,3553005,0.0
23001502309805,2300150,2309805,0.0
35205093552403,3520509,3552403,0.0
51063075107008,5106307,5107008,0.0
13006311304104,1300631,1304104,10.5
13024051304104,1302405,1304104,1.5
13034031506005,1303403,1506005,12.5
15007011501402,1500701,1501402,1.5
15014021600279,1501402,1600279,5.5
15014021600808,1501402,1600808,5.5
21106092111300,2110609,2111300,0.0
22087002210607,2208700,2210607,0.0
23014062302107,2301406,2302107,0.0
23051002307700,2305100,2307700,0.0
27024053106200,2702405,3106200,0.0
29081012928109,2908101,2928109,0.0
29081012929057,2908101,2929057,0.0
35303003532702,3530300,3532702,0.0
43075004318705,4307500,4318705,0.0
23073042909000,2307304,2909000,0.0
23125022313104,2312502,2313104,0.0
13026031504802,1302603,1504802,4.5
43006464314100,4300646,4314100,0.0
29039042908101,2903904,2908101,0.0
35111023552601,3511102,3552601,0.0
23073042933307,2307304,2933307,0.0
42083024209706,4208302,4209706,0.0
13026031506005,1302603,1506005,12.5
41015074102109,4101507,4102109,0.0
41040064106902,4104006,4106902,0.0
15005031600808,1500503,1600808,5.5
35327023549805,3532702,3549805,0.0
23072052308302,2307205,2308302,0.0
23001502309102,2300150,2309102,0.0
23014062307700,2301406,2307700,0.0
23097062310100,2309706,2310100,0.0
24034002405702,2403400,2405702,0.0
26055092607653,2605509,2607653,0.0
31410093146552,3141009,3146552,0.0
35062013530102,3506201,3530102,0.0
29131012924801,2913101,2924801,0.0
35045033535804,3504503,3535804,0.0
13026031501808,1302603,1501808,1.5
13034031500404,1303403,1500404,1.0
23021072309805,2302107,2309805,0.0
51034035103601,5103403,5103601,0.0
23014062311603,2301406,2311603,0.0
23098052311603,2309805,2311603,0.0
23020082604304,2302008,2604304,0.0
23097062309805,2309706,2309805,0.0
23049542310100,2304954,2310100,0.0
43149024320404,4314902,4320404,0.0
13026031500503,1302603,1500503,5.5
23042362312304,2304236,2312304,0.0
16003031600402,1600303,1600402,0.0
21009072103208,2100907,2103208,0.0
23049542309805,2304954,2309805,0.0
24034002408904,2403400,2408904,0.0
29029062916401,2902906,2916401,0.0
29177062925253,2917706,2925253,0.0
41256054218301,4125605,4218301,0.0
24046062407104,2404606,2407104,0.0
35205093533403,3520509,3533403,0.0
35388083553807,3538808,3553807,0.0
23043502310951,2304350,2310951,0.0
23049052305803,2304905,2305803,0.0
43187054321006,4318705,4321006,0.0
35114093546405,3511409,3546405,0.0
15031011505106,1503101,1505106,9.0
15061381703909,1506138,1703909,0.0
35027543522505,3502754,3522505,0.0
51033615106828,5103361,5106828,0.0
29231002927002,2923100,2927002,0.0
26114082611606,2611408,2611606,0.0
