cod_mun,nome_mun,latitude,longitude,cod_uf,populacao_2011,populacao_2021,area,densidade_2021,cod_reg_saude,nome_uf,uf,pais,cod_arranjo
5200050,Abadia de Goiás,-16.7573,-49.4412,52,7023,9158.0,143.357,63.88247521920799,52001.0,Goiás,GO,BRA,5208707
3100104,Abadia dos Dourados,-18.4831,-47.3916,31,6724,7022.0,880.461,7.975367449551996,31074.0,Minas Gerais,MG,BRA,3100104
5200100,Abadiânia,-16.197,-48.7057,52,16088,20873.0,1044.555,19.98267204694822,52011.0,Goiás,GO,BRA,5200100
3100203,Abaeté,-19.1551,-45.4444,31,22716,23263.0,1817.067,12.802499852784734,31024.0,Minas Gerais,MG,BRA,3100203
1500107,Abaetetuba,-1.72183,-48.8788,15,142785,160439.0,1610.654,99.61108965674813,15011.0,Pará,PA,BRA,1500107
2300101,Abaiara,-7.34588,-39.0416,23,10659,11965.0,180.833,66.16602058252641,23019.0,Ceará,CE,BRA,2300101
2900108,Abaíra,-13.2488,-41.6619,29,8687,8681.0,538.677,16.11540867718503,29023.0,Bahia,BA,BRA,2900108
2900207,Abaré,-8.72073,-39.1162,29,17380,20594.0,1604.923,12.831768253056378,29017.0,Bahia,BA,BRA,2900207
4100103,Abatiá,-23.3049,-50.3133,41,7727,7360.0,228.717,32.17950567732176,41018.0,Paraná,PR,BRA,4100103
4200051,Abdon Batista,-27.6126,-51.0233,42,2644,2534.0,237.517,10.668710029176859,42008.0,Santa Catarina,SC,BRA,4200051
1500131,Abel Figueiredo,-4.95333,-48.3933,15,6844,7536.0,614.131,12.270997555896056,15003.0,Pará,PA,BRA,1500131
4200101,Abelardo Luz,-26.5716,-52.3229,42,17151,18015.0,953.992,18.883806153510722,42003.0,Santa Catarina,SC,BRA,4200101
3100302,Abre Campo,-20.2996,-42.4743,31,13309,13434.0,470.551,28.549508979898036,31059.0,Minas Gerais,MG,BRA,3100302
2600054,Abreu e Lima,-7.90072,-34.8984,26,94843,100698.0,126.384,796.7622483858717,26010.0,Pernambuco,PE,BRA,2611606
1700251,Abreulândia,-9.62101,-49.1518,17,2407,2609.0,1906.295,1.3686234292174086,17007.0,Tocantins,TO,BRA,1700251
3100401,Acaiaca,-20.359,-43.1439,31,3923,3995.0,101.886,39.210490155664175,31060.0,Minas Gerais,MG,BRA,3100401
2100055,Açailândia,-4.94714,-47.5004,21,105255,113783.0,5805.159,19.60032447001021,21001.0,Maranhão,MA,BRA,2100055
2900306,Acajutiba,-11.6575,-38.0197,29,14692,15214.0,181.475,83.83523901363824,29001.0,Bahia,BA,BRA,2900306
1500206,Acará,-1.95383,-48.1985,15,53680,55744.0,4344.384,12.831278266377925,15007.0,Pará,PA,BRA,1500206
2300150,Acarape,-4.22083,-38.7055,23,15509,15140.0,130.002,116.45974677312655,23003.0,Ceará,CE,BRA,2311603
2300200,Acaraú,-2.88769,-40.1183,23,58210,63556.0,842.471,75.43998547131,23012.0,Ceará,CE,BRA,2300200
2400109,Acari,-6.4282,-36.6347,24,11024,11106.0,608.466,18.252457820157577,24004.0,Rio Grande do Norte,RN,BRA,2400109
