"uf";"cidade";"ibge";"regiao";"no_regiao"
"AC";"Acrelândia";"120001";"12002";"Baixo Acre e Purus"
"AC";"Assis Brasil";"120005";"12001";"Alto Acre"
"AC";"Brasiléia";"120010";"12001";"Alto Acre"
"AC";"Bujari";"120013";"12002";"Baixo Acre e Purus"
"AC";"Capixaba";"120017";"12002";"Baixo Acre e Purus"
"AC";"Cruzeiro do Sul";"120020";"12003";"Juruá e Tarauacá/Envira"
"AC";"Epitaciolândia";"120025";"12001";"Alto Acre"
"AC";"Feijó";"120030";"12003";"Juruá e Tarauacá/Envira"
"AC";"Jordão";"120032";"12002";"Baixo Acre e Purus"
"AC";"Mâncio Lima";"120033";"12003";"Juruá e Tarauacá/Envira"
"AC";"Manoel Urbano";"120034";"12002";"Baixo Acre e Purus"
"AC";"Marechal Thaumaturgo";"120035";"12003";"Juruá e Tarauacá/Envira"
"AC";"Plácido de Castro";"120038";"12002";"Baixo Acre e Purus"
"AC";"Porto Acre";"120080";"12002";"Baixo Acre e Purus"
"AC";"Porto Walter";"120039";"12003";"Juruá e Tarauacá/Envira"
"AC";"Rio Branco";"120040";"12002";"Baixo Acre e Purus"
"AC";"Rodrigues Alves";"120042";"12003";"Juruá e Tarauacá/Envira"
"AC";"Santa Rosa do Purus";"120043";"12002";"Baixo Acre e Purus"
"AC";"Senador Guiomard";"120045";"12002";"Baixo Acre e Purus"
"AC";"Sena Madureira";"120050";"12002";"Baixo Acre e Purus"
"AC";"Tarauacá";"120060";"12003";"Juruá e Tarauacá/Envira"
"AC";"Xapuri";"120070";"12001";"Alto Acre"
"AL";"Água Branca";"270010";"27010";"10ª Região de Saúde"
"AL";"Anadia";"270020";"27005";"5ª Região de Saúde"
"AL";"Arapiraca";"270030";"27007";"7ª Região de Saúde"
"AL";"Atalaia";"270040";"27004";"4ª Região de Saúde"
"AL";"Barra de Santo Antônio";"270050";"27001";"1ª Região de Saúde"
"AL";"Barra de São Miguel";"270060";"27001";"1ª Região de Saúde"
"AL";"Batalha";"270070";"27007";"7ª Região de Saúde"
"AL";"Belém";"270080";"27008";"8ª Região de Saúde"
"AL";"Belo Monte";"270090";"27007";"7ª Região de Saúde"
"AL";"Boca da Mata";"270100";"27005";"5ª Região de Saúde"
"AL";"Branquinha";"270110";"27003";"3ª Região de Saúde"
"AL";"Cacimbinhas";"270120";"27008";"8ª Região de Saúde"
"AL";"Cajueiro";"270130";"27004";"4ª Região de Saúde"
"AL";"Campestre";"270135";"27003";"3ª Região de Saúde"
"AL";"Campo Alegre";"270140";"27005";"5ª Região de Saúde"
"AL";"Campo Grande";"270150";"27007";"7ª Região de Saúde"
"AL";"Canapi";"270160";"27009";"9ª Região de Saúde"
"AL";"Capela";"270170";"27004";"4ª Região de Saúde"
"AL";"Carneiros";"270180";"27009";"9ª Região de Saúde"
"AL";"Chã Preta";"270190";"27004";"4ª Região de Saúde"
"AL";"Coité do Nóia";"270200";"27007";"7ª Região de Saúde"
"AL";"Colônia Leopoldina";"270210";"27003";"3ª Região de Saúde"
"AL";"Coqueiro Seco";"270220";"27001";"1ª Região de Saúde"
"AL";"Coruripe";"270230";"27006";"6ª Região de Saúde"
"AL";"Craíbas";"270235";"27007";"7ª Região de Saúde"
"AL";"Delmiro Gouveia";"270240";"27010";"10ª Região de Saúde"
"AL";"Dois Riachos";"270250";"27009";"9ª Região de Saúde"
"AL";"Estrela de Alagoas";"270255";"27008";"8ª Região de Saúde"
"AL";"Feira Grande";"270260";"27007";"7ª Região de Saúde"
"AL";"Feliz Deserto";"270270";"27006";"6ª Região de Saúde"
"AL";"Flexeiras";"270280";"27001";"1ª Região de Saúde"
"AL";"Girau do Ponciano";"270290";"27007";"7ª Região de Saúde"
"AL";"Ibateguara";"270300";"27003";"3ª Região de Saúde"
"AL";"Igaci";"270310";"27008";"8ª Região de Saúde"
"AL";"Igreja Nova";"270320";"27006";"6ª Região de Saúde"
"AL";"Inhapi";"270330";"27010";"10ª Região de Saúde"
"AL";"Jacaré dos Homens";"270340";"27007";"7ª Região de Saúde"
"AL";"Jacuípe";"270350";"27002";"2ª Região de Saúde"
"AL";"Japaratinga";"270360";"27002";"2ª Região de Saúde"
"AL";"Jaramataia";"270370";"27007";"7ª Região de Saúde"
"AL";"Jequiá da Praia";"270375";"27006";"6ª Região de Saúde"
"AL";"Joaquim Gomes";"270380";"27003";"3ª Região de Saúde"
"AL";"Jundiá";"270390";"27003";"3ª Região de Saúde"
"AL";"Junqueiro";"270400";"27005";"5ª Região de Saúde"
"AL";"Lagoa da Canoa";"270410";"27007";"7ª Região de Saúde"
"AL";"Limoeiro de Anadia";"270420";"27007";"7ª Região de Saúde"
"AL";"Maceió";"270430";"27001";"1ª Região de Saúde"
"AL";"Major Isidoro";"270440";"27007";"7ª Região de Saúde"
"AL";"Maragogi";"270450";"27002";"2ª Região de Saúde"
"AL";"Maravilha";"270460";"27009";"9ª Região de Saúde"
"AL";"Marechal Deodoro";"270470";"27001";"1ª Região de Saúde"
"AL";"Maribondo";"270480";"27008";"8ª Região de Saúde"
"AL";"Mar Vermelho";"270490";"27004";"4ª Região de Saúde"
"AL";"Mata Grande";"270500";"27010";"10ª Região de Saúde"
"AL";"Matriz de Camaragibe";"270510";"27002";"2ª Região de Saúde"
"AL";"Messias";"270520";"27001";"1ª Região de Saúde"
"AL";"Minador do Negrão";"270530";"27008";"8ª Região de Saúde"
"AL";"Monteirópolis";"270540";"27009";"9ª Região de Saúde"
"AL";"Murici";"270550";"27003";"3ª Região de Saúde"
"AL";"Novo Lino";"270560";"27003";"3ª Região de Saúde"
"AL";"Olho d'Água das Flores";"270570";"27009";"9ª Região de Saúde"
"AL";"Olho d'Água do Casado";"270580";"27010";"10ª Região de Saúde"
"AL";"Olho d'Água Grande";"270590";"27007";"7ª Região de Saúde"
"AL";"Olivença";"270600";"27009";"9ª Região de Saúde"
"AL";"Ouro Branco";"270610";"27009";"9ª Região de Saúde"
"AL";"Palestina";"270620";"27009";"9ª Região de Saúde"
"AL";"Palmeira dos Índios";"270630";"27008";"8ª Região de Saúde"
"AL";"Pão de Açúcar";"270640";"27009";"9ª Região de Saúde"
"AL";"Pariconha";"270642";"27010";"10ª Região de Saúde"
"AL";"Paripueira";"270644";"27001";"1ª Região de Saúde"
"AL";"Passo de Camaragibe";"270650";"27002";"2ª Região de Saúde"
"AL";"Paulo Jacinto";"270660";"27004";"4ª Região de Saúde"
"AL";"Penedo";"270670";"27006";"6ª Região de Saúde"
"AL";"Piaçabuçu";"270680";"27006";"6ª Região de Saúde"
"AL";"Pilar";"270690";"27001";"1ª Região de Saúde"
"AL";"Pindoba";"270700";"27004";"4ª Região de Saúde"
"AL";"Piranhas";"270710";"27010";"10ª Região de Saúde"
"AL";"Poço das Trincheiras";"270720";"27009";"9ª Região de Saúde"
"AL";"Porto Calvo";"270730";"27002";"2ª Região de Saúde"
"AL";"Porto de Pedras";"270740";"27002";"2ª Região de Saúde"
"AL";"Porto Real do Colégio";"270750";"27006";"6ª Região de Saúde"
"AL";"Quebrangulo";"270760";"27004";"4ª Região de Saúde"
"AL";"Rio Largo";"270770";"27001";"1ª Região de Saúde"
"AL";"Roteiro";"270780";"27005";"5ª Região de Saúde"
"AL";"Santa Luzia do Norte";"270790";"27001";"1ª Região de Saúde"
"AL";"Santana do Ipanema";"270800";"27009";"9ª Região de Saúde"
"AL";"Santana do Mundaú";"270810";"27003";"3ª Região de Saúde"
"AL";"São Brás";"270820";"27006";"6ª Região de Saúde"
"AL";"São José da Laje";"270830";"27003";"3ª Região de Saúde"
"AL";"São José da Tapera";"270840";"27009";"9ª Região de Saúde"
"AL";"São Luís do Quitunde";"270850";"27002";"2ª Região de Saúde"
"AL";"São Miguel dos Campos";"270860";"27005";"5ª Região de Saúde"
"AL";"São Miguel dos Milagres";"270870";"27002";"2ª Região de Saúde"
"AL";"São Sebastião";"270880";"27007";"7ª Região de Saúde"
"AL";"Satuba";"270890";"27001";"1ª Região de Saúde"
"AL";"Senador Rui Palmeira";"270895";"27009";"9ª Região de Saúde"
"AL";"Tanque d'Arca";"270900";"27008";"8ª Região de Saúde"
"AL";"Taquarana";"270910";"27007";"7ª Região de Saúde"
"AL";"Teotônio Vilela";"270915";"27005";"5ª Região de Saúde"
"AL";"Traipu";"270920";"27007";"7ª Região de Saúde"
"AL";"União dos Palmares";"270930";"27003";"3ª Região de Saúde"
"AL";"Viçosa";"270940";"27004";"4ª Região de Saúde"
"AM";"Alvarães";"130002";"13008";"Triângulo"
"AM";"Amaturá";"130006";"13009";"Alto Solimões"
"AM";"Anamã";"130008";"13002";"Rio Negro e Solimões"
"AM";"Anori";"130010";"13002";"Rio Negro e Solimões"
"AM";"Apuí";"130014";"13003";"Rio Madeira"
"AM";"Atalaia do Norte";"130020";"13009";"Alto Solimões"
