"ibge","no_cidade","area_territorial","co_regiao_saude"
"430750","Espumoso","783.069","43019"
"312740","Gonçalves","187.353","31003"
"240450","Guamaré","258.962","24003"
"351750","Guapiaçu","326","35155"
"312530","Faria Lemos","165.224","31042"
"312560","Felisburgo","596.214","31094"
"170765","Figueirópolis","1930.07","17005"
"291090","Firmino Alves","162.425","29013"
"170130","Aragominas","1173.06","17001"
"420130","Araquari","386.135","42011"
"410210","Astorga","434.792","41015"
"293070","Simões Filho","201.222","29004"
"432026","Segredo","247.44","43027"
"353490","Pacaembu","338.503","35091"
"251010","Nova Floresta","47.379","25004"
"354250","Reginópolis","410.816","35062"
"315480","Rio Acima","229.812","31016"
"412217","Rio Branco do Ivaí","382.329","41022"
"210905","Porto Rico do Maranhão","213.009","21011"
"231123","Potiretama","404.602","23010"
"320035","Alto Rio Novo","227.728","32001"
"350120","Álvares Florence","362.941","35157"
"290130","Andaraí","1861.66","29011"
"350300","Aramina","202.887","35083"
"310400","Araxá","1164.36","31070"
"110002","Ariquemes","4426.58","11001"
"210420","Fortuna","694.992","21012"
"351450","Duartina","264.556","35062"
"351460","Dumont","111.254","35131"
"351510","Embu-Guaçu","154.945","35013"
"312460","Estrela Dalva","131.365","31041"
"220202","Buriti dos Montes","2652.09","22001"
"310640","Belo Vale","365.923","31016"
"350420","Auriflama","433.986","35021"
"320010","Afonso Cláudio","954.658","32002"
"310220","Alvarenga","278.173","31040"
"292500","Planalto","961.689","29028"
"411990","Ponta Grossa","2067.55","41003"
"315210","Ponte Nova","470.642","31060"
"421340","Ponte Serrada","564.001","42003"
"320425","Ponto Belo","356.158","32003"
"210825","Pedro do Rosário","1749.88","21011"
"314940","Pedro Teixeira","112.959","31090"
"221170","Wall Ferraz","269.986","22009"
"355600","Urupês","323.746","35151"
"317170","Virgínia","326.515","31008"
"312000","Córrego Novo","205.385","31035"
"170600","Couto Magalhães","1585.78","17004"
"351320","Cristais Paulista","385.23","35081"
"280170","Cristinápolis","236.185","28002"
"210312","Central do Maranhão","319.051","21011"
"110005","Cerejeiras","2783.3","11006"
"210663","Matões do Norte","794.647","21009"
"220595","Marcolândia","143.875","22009"
"171150","Jaú do Tocantins","2173.04","17005"
"292460","Pindobaçu","496.279","29024"
"171575","Palmeirópolis","1703.94","17005"
"171525","Novo Jardim","1309.66","17003"
"316960","Tupaciguara","1823.96","31075"
"172125","Tupirama","712.204","17004"
"355530","Turmalina","147.938","35154"
"317000","Ubaí","820.523","31049"
"412840","Uraí","237.81","41018"
"251650","Taperoá","662.904","25016"
"241410","Tenente Ananias","223.67","24006"
"510279","Carlinda","2156.75","51001"
"311480","Carvalhos","282.254","31008"
"230350","Cascavel","837.321","23022"
"351090","Cássia dos Coqueiros","191.683","35133"
"220210","Campinas do Piauí","831.197","22008"
"220220","Campo Maior","1675.71","22001"
"241030","Serra Caiada","167.344","24005"
"430003","Aceguá","1549.39","43022"
"421180","Ouro","212.669","42008"
"314600","Ouro Fino","533.659","31007"
"314640","Paineiras","637.308","31024"
"292265","Nordestina","461.223","29025"
