"index","cod_mun_origem","cod_mun_destino","totalCost","cod_nos","costs"
"0","1302603","3100104","-3.4246299181221874E-7","[1302603,3509502,3170206,3100104]","[-1.0,-0.05683453802228631,-5.824901099564445E-4,-3.4246299181221874E-7]"
"0","1302603","5200100","-4.71597117022941E-5","[1302603,5300108,5200100]","[-1.0,-0.1850985821133786,-4.71597117022941E-5]"
"0","1302603","3100203","-8.370646463742262E-7","[1302603,5300108,3550308,3100203]","[-1.0,-0.1850985821133786,-0.023007617858019077,-8.370646463742262E-7]"
"0","1302603","1500107","-2.569579882513978E-4","[1302603,1501402,1500107]","[-1.0,-0.09169026321712141,-2.569579882513978E-4]"
"0","1302603","2300101","-3.4269648444526395E-6","[1302603,2304400,2307304,2300101]","[-1.0,-0.07287081477449374,-0.0010537407941516948,-3.4269648444526395E-6]"
"0","1302603","2900108","-1.4325603008417967E-7","[1302603,5300108,3550308,2900108]","[-1.0,-0.1850985821133786,-0.023007617858019077,-1.4325603008417967E-7]"
"0","1302603","2900207","-2.1875769830831694E-7","[1302603,2611606,2924009,2900207]","[-1.0,-0.035528946555775966,-1.4115735149294707E-4,-2.1875769830831694E-7]"
"0","1302603","4100103","-2.8197831813875185E-8","[1302603,5300108,3550308,4106902,4100103]","[-1.0,-0.1850985821133786,-0.023007617858019077,-2.850092763233586E-4,-2.8197831813875185E-8]"
"0","1302603","4200051","-2.4780014529394455E-7","[1302603,3509502,4209300,4200051]","[-1.0,-0.05683453802228631,-3.484907677126812E-5,-2.4780014529394455E-7]"
"0","1302603","1500131","-2.6870122706381645E-6","[1302603,1501402,1500131]","[-1.0,-0.09169026321712141,-2.6870122706381645E-6]"
"0","1302603","4200101","-3.0073979339106593E-6","[1302603,3509502,4204202,4200101]","[-1.0,-0.05683453802228631,-5.627082645943081E-4,-3.0073979339106593E-6]"
"0","1302603","3100302","-1.5229634884452805E-7","[1302603,1100205,3136207,3100302]","[-1.0,-0.06429558408659106,-2.6020510456103593E-5,-1.5229634884452805E-7]"
"0","1302603","1700251","-1.9932049986171016E-6","[1302603,5300108,1721000,1700251]","[-1.0,-0.1850985821133786,-0.0023827690288144455,-1.9932049986171016E-6]"
"0","1302603","3100401","-4.201197837053488E-8","[1302603,3304557,3152105,3100401]","[-1.0,-0.06165569274412616,-1.4733277645482193E-5,-4.201197837053488E-8]"
"0","1302603","2100055","-3.100016008532549E-5","[1302603,1501402,2100055]","[-1.0,-0.09169026321712141,-3.100016008532549E-5]"
"0","1302603","2900306","-9.032251853072839E-8","[1302603,5300108,2927408,2900306]","[-1.0,-0.1850985821133786,-0.00656591709146201,-9.032251853072839E-8]"
"0","1302603","1500206","-5.523303000756228E-6","[1302603,1501402,1500206]","[-1.0,-0.09169026321712141,-5.523303000756228E-6]"
"0","1302603","2300200","-3.3631727054329234E-5","[1302603,2304400,2300200]","[-1.0,-0.07287081477449374,-3.3631727054329234E-5]"
"0","1302603","2400109","-1.1324613375560068E-6","[1302603,2304400,2408102,2400109]","[-1.0,-0.07287081477449374,-4.5818729218189915E-4,-1.1324613375560068E-6]"
"0","1302603","2200053","-1.418491158170697E-6","[1302603,2611606,2611101,2200053]","[-1.0,-0.035528946555775966,-6.396756802328667E-4,-1.418491158170697E-6]"
"0","1302603","2300309","-1.7755632356863472E-5","[1302603,2304400,2300309]","[-1.0,-0.07287081477449374,-1.7755632356863472E-5]"
"0","1302603","5100102","-2.1059499272377554E-5","[1302603,1100205,5103403,5100102]","[-1.0,-0.06429558408659106,-0.001972699542711227,-2.1059499272377554E-5]"
"0","1302603","1200013","-3.3846930485289307E-6","[1302603,1200401,1200013]","[-1.0,-0.01469179677481825,-3.3846930485289307E-6]"
"0","1302603","5200134","-3.544218365680946E-6","[1302603,5300108,5208707,5200134]","[-1.0,-0.1850985821133786,-0.005914367892102353,-3.544218365680946E-6]"
"0","1302603","2400208","-2.851298619469292E-5","[1302603,2304400,2400208]","[-1.0,-0.07287081477449374,-2.851298619469292E-5]"
"0","1302603","3100500","-1.5224464373652034E-6","[1302603,5300108,3550308,3100500]","[-1.0,-0.1850985821133786,-0.023007617858019077,-1.5224464373652034E-6]"
"0","1302603","5200159","-1.1063444069667043E-6","[1302603,5300108,5208707,5200159]","[-1.0,-0.1850985821133786,-0.005914367892102353,-1.1063444069667043E-6]"
"0","1302603","3500204","-2.5048996011821666E-7","[1302603,3509502,3549805,3500204]","[-1.0,-0.05683453802228631,-9.614616115686833E-4,-2.5048996011821666E-7]"
"0","1302603","2900355","-6.610862977418689E-8","[1302603,5300108,2800308,2910750,2900355]","[-1.0,-0.1850985821133786,-0.001719456066482445,-1.4206744538472762E-6,-6.610862977418689E-8]"
"0","1302603","2600104","-1.2859491787445197E-5","[1302603,2611606,2600104]","[-1.0,-0.035528946555775966,-1.2859491787445197E-5]"
"0","1302603","2400307","-5.197286331778775E-7","[1302603,2304400,2408102,2400307]","[-1.0,-0.07287081477449374,-4.5818729218189915E-4,-5.197286331778775E-7]"
"0","1302603","3200102","-9.549649439469035E-6","[1302603,3304557,3200102]","[-1.0,-0.06165569274412616,-9.549649439469035E-6]"
"0","1302603","2100105","-3.111507951711442E-8","[1302603,5300108,2103406,2100105]","[-1.0,-0.1850985821133786,-2.3025158842664672E-6,-3.111507951711442E-8]"
"0","1302603","2600203","-3.3121768543285776E-6","[1302603,2611606,2611101,2600203]","[-1.0,-0.035528946555775966,-6.396756802328667E-4,-3.3121768543285776E-6]"
"0","1302603","1500305","-1.5217731182801992E-6","[1302603,1501402,1600303,1500305]","[-1.0,-0.09169026321712141,-0.01093146254976696,-1.5217731182801992E-6]"
"0","1302603","2600302","-1.7183206959917825E-6","[1302603,2611606,2604106,2600302]","[-1.0,-0.035528946555775966,-1.604739497949392E-4,-1.7183206959917825E-6]"
"0","1302603","2200103","-2.4328117066459754E-6","[1302603,5300108,2211001,2200103]","[-1.0,-0.1850985821133786,-0.00432439694616602,-2.4328117066459754E-6]"
"0","1302603","4200200","-7.991600127428055E-8","[1302603,1400472,4214805,4200200]","[-1.0,-0.0016460883810760028,-7.989612167197351E-6,-7.991600127428055E-8]"
"0","1302603","1500347","-6.3692142711423165E-6","[1302603,1501402,1500347]","[-1.0,-0.09169026321712141,-6.3692142711423165E-6]"
"0","1302603","3100609","-1.1446437697902592E-6","[1302603,5300108,3550308,3100609]","[-1.0,-0.1850985821133786,-0.023007617858019077,-1.1446437697902592E-6]"
"0","1302603","5100201","-4.787438965024959E-6","[1302603,1100205,5103403,5100201]","[-1.0,-0.06429558408659106,-0.001972699542711227,-4.787438965024959E-6]"
