"index","cod_mun_origem","cod_mun_destino","totalCost","cod_nos","costs"
"0","3550308","3100104","-1.13139533116879E-5","[3550308,3170206,3100104]","[-1.0,-0.019243731632703764,-1.13139533116879E-5]"
"0","3550308","5200100","-1.6800389007553412E-5","[3550308,5300108,5200100]","[-1.0,-0.0659403561218135,-1.6800389007553412E-5]"
"0","3550308","3100203","-3.6382064911708175E-5","[3550308,3100203]","[-1.0,-3.6382064911708175E-5]"
"0","3550308","1500107","-4.9251536028907135E-6","[3550308,5300108,1501402,1500107]","[-1.0,-0.0659403561218135,-0.0017574414919219652,-4.9251536028907135E-6]"
"0","3550308","2300101","-5.802090409431198E-7","[3550308,3509502,2307304,2300101]","[-1.0,-0.033018433131901226,-1.7840566312405471E-4,-5.802090409431198E-7]"
"0","3550308","2900108","-6.226460773480258E-6","[3550308,2900108]","[-1.0,-6.226460773480258E-6]"
"0","3550308","2900207","-6.169841808040936E-7","[3550308,2910701,2900207]","[-1.0,-2.7805420414904486E-4,-6.169841808040936E-7]"
"0","3550308","4100103","-1.2255867594761493E-6","[3550308,4106902,4100103]","[-1.0,-0.012387604752572046,-1.2255867594761493E-6]"
"0","3550308","4200051","-2.579194010660499E-6","[3550308,4209300,4200051]","[-1.0,-3.627218619217617E-4,-2.579194010660499E-6]"
"0","3550308","1500131","-8.815319874772831E-8","[3550308,5300108,1504208,1500131]","[-1.0,-0.0659403561218135,-6.003846074363761E-4,-8.815319874772831E-8]"
"0","3550308","4200101","-1.6068119103319268E-5","[3550308,4115200,4200101]","[-1.0,-0.010721171883403052,-1.6068119103319268E-5]"
"0","3550308","3100302","-2.7220309730372986E-6","[3550308,3106200,3100302]","[-1.0,-0.012537039811135573,-2.7220309730372986E-6]"
"0","3550308","1700251","-7.13710122364899E-7","[3550308,5208707,1721000,1700251]","[-1.0,-0.028147265320115168,-8.532019417482602E-4,-7.13710122364899E-7]"
"0","3550308","3100401","-1.4536281626761485E-6","[3550308,3152105,3100401]","[-1.0,-5.097762148954278E-4,-1.4536281626761485E-6]"
"0","3550308","2100055","-1.0879943935242137E-5","[3550308,5208707,2100055]","[-1.0,-0.028147265320115168,-1.0879943935242137E-5]"
"0","3550308","2900306","-1.9414096905796864E-6","[3550308,2910602,2900306]","[-1.0,-1.1689874883543819E-4,-1.9414096905796864E-6]"
"0","3550308","1500206","-1.0586600501953316E-7","[3550308,5300108,1501402,1500206]","[-1.0,-0.0659403561218135,-0.0017574414919219652,-1.0586600501953316E-7]"
"0","3550308","2300200","-2.284289129506442E-6","[3550308,3304557,2304400,2300200]","[-1.0,-0.1914498118571103,-0.0049494339014691255,-2.284289129506442E-6]"
"0","3550308","2400109","-2.854239014380442E-6","[3550308,2403103,2400109]","[-1.0,-4.199808835445507E-5,-2.854239014380442E-6]"
"0","3550308","2200053","-1.0099832341226563E-6","[3550308,2927408,2611101,2200053]","[-1.0,-0.03136335439708387,-4.5545698934378254E-4,-1.0099832341226563E-6]"
"0","3550308","2300309","-5.359639763838889E-5","[3550308,2300309]","[-1.0,-5.359639763838889E-5]"
"0","3550308","5100102","-3.1749395524828806E-6","[3550308,5103403,5100102]","[-1.0,-2.974050675332923E-4,-3.1749395524828806E-6]"
"0","3550308","1200013","-1.7662090534011992E-7","[3550308,5300108,1200401,1200013]","[-1.0,-0.0659403561218135,-7.666510405040274E-4,-1.7662090534011992E-7]"
"0","3550308","5200134","-1.68674077282983E-5","[3550308,5208707,5200134]","[-1.0,-0.028147265320115168,-1.68674077282983E-5]"
"0","3550308","2400208","-1.9366208672272215E-6","[3550308,3304557,2304400,2400208]","[-1.0,-0.1914498118571103,-0.0049494339014691255,-1.9366208672272215E-6]"
"0","3550308","3100500","-6.617140665149607E-5","[3550308,3100500]","[-1.0,-6.617140665149607E-5]"
"0","3550308","5200159","-5.265240533971569E-6","[3550308,5208707,5200159]","[-1.0,-0.028147265320115168,-5.265240533971569E-6]"
"0","3550308","3500204","-4.202771905116618E-6","[3550308,3549805,3500204]","[-1.0,-0.016131600033158954,-4.202771905116618E-6]"
"0","3550308","2900355","-4.679002974530102E-7","[3550308,3548500,2803500,2900355]","[-1.0,-0.011822767090444471,-1.4230234416797753E-4,-4.679002974530102E-7]"
"0","3550308","2600104","-1.8923557252734118E-5","[3550308,2600104]","[-1.0,-1.8923557252734118E-5]"
"0","3550308","2400307","-3.0182941199906565E-7","[3550308,2408102,2400307]","[-1.0,-2.6608963246667106E-4,-3.0182941199906565E-7]"
"0","3550308","3200102","-2.9653037815585694E-5","[3550308,3304557,3200102]","[-1.0,-0.1914498118571103,-2.9653037815585694E-5]"
"0","3550308","2100105","-1.1084576665532294E-8","[3550308,5300108,2103406,2100105]","[-1.0,-0.0659403561218135,-8.202586732493897E-7,-1.1084576665532294E-8]"
"0","3550308","2600203","-2.9911429205934574E-6","[3550308,2600203]","[-1.0,-2.9911429205934574E-6]"
"0","3550308","1500305","-7.042006417629422E-8","[3550308,5300108,1600303,1500305]","[-1.0,-0.0659403561218135,-5.058535237928986E-4,-7.042006417629422E-8]"
"0","3550308","2600302","-1.269709647925386E-5","[3550308,2600302]","[-1.0,-1.269709647925386E-5]"
"0","3550308","2200103","-8.666758463621834E-7","[3550308,5300108,2211001,2200103]","[-1.0,-0.0659403561218135,-0.0015405427280237379,-8.666758463621834E-7]"
"0","3550308","4200200","-2.2298718263223855E-6","[3550308,4214805,4200200]","[-1.0,-2.2293171318382257E-4,-2.2298718263223855E-6]"
"0","3550308","1500347","-6.589175223261519E-7","[3550308,5208707,1508084,1500347]","[-1.0,-0.028147265320115168,-5.8896141902124464E-5,-6.589175223261519E-7]"
"0","3550308","3100609","-4.975064245476873E-5","[3550308,3100609]","[-1.0,-4.975064245476873E-5]"
"0","3550308","5100201","-1.9106688451954126E-5","[3550308,5100201]","[-1.0,-1.9106688451954126E-5]"
"0","3550308","2200202","-1.1066324131134936E-6","[3550308,5208707,2200202]","[-1.0,-0.028147265320115168,-1.1066324131134936E-6]"
"0","3550308","2500106","-1.0987871953200457E-6","[3550308,2500106]","[-1.0,-1.0987871953200457E-6]"
"0","3550308","2700102","-4.944542378940205E-6","[3550308,2700102]","[-1.0,-4.944542378940205E-6]"
"0","3550308","5000203","-3.837773319446701E-6","[3550308,5002704,5000203]","[-1.0,-0.013162738075137266,-3.837773319446701E-6]"
"0","3550308","3100708","-8.905808117132797E-6","[3550308,3505500,3100708]","[-1.0,-6.11780292860972E-4,-8.905808117132797E-6]"
"0","3550308","4200408","-3.284901400791442E-7","[3550308,4209003,4200408]","[-1.0,-1.0835262620517117E-4,-3.284901400791442E-7]"
"0","3550308","2100154","-1.1958500529333785E-7","[3550308,2312908,2100154]","[-1.0,-2.621217898169042E-4,-1.1958500529333785E-7]"
