"index","cod_mun_origem","cod_mun_destino","totalCost","cod_nos","costs"
"0","3550308","2800308","-0.004437085825901564","[3550308,2800308]","[-1.0,-0.004437085825901564]"
"0","3550308","1501402","-0.0017574414919219652","[3550308,5300108,1501402]","[-1.0,-0.0659403561218135,-0.0017574414919219652]"
"0","3550308","3106200","-0.012537039811135573","[3550308,3106200]","[-1.0,-0.012537039811135573]"
"0","3550308","1400100","-7.081889677924345E-4","[3550308,5300108,1400100]","[-1.0,-0.0659403561218135,-7.081889677924345E-4]"
"0","3550308","5300108","-0.0659403561218135","[3550308,5300108]","[-1.0,-0.0659403561218135]"
"0","3550308","5002704","-0.013162738075137266","[3550308,5002704]","[-1.0,-0.013162738075137266]"
"0","3550308","5103403","-2.974050675332923E-4","[3550308,5103403]","[-1.0,-2.974050675332923E-4]"
"0","3550308","4106902","-0.012387604752572046","[3550308,4106902]","[-1.0,-0.012387604752572046]"
"0","3550308","4205407","-0.03305115257282853","[3550308,4205407]","[-1.0,-0.03305115257282853]"
"0","3550308","2304400","-0.0049494339014691255","[3550308,3304557,2304400]","[-1.0,-0.1914498118571103,-0.0049494339014691255]"
"0","3550308","5208707","-0.028147265320115168","[3550308,5208707]","[-1.0,-0.028147265320115168]"
"0","3550308","2507507","-4.7548121466512187E-4","[3550308,2611606,2507507]","[-1.0,-0.01831446288412837,-4.7548121466512187E-4]"
"0","3550308","1600303","-5.058535237928986E-4","[3550308,5300108,1600303]","[-1.0,-0.0659403561218135,-5.058535237928986E-4]"
"0","3550308","2704302","-4.5593564232474556E-4","[3550308,2704302]","[-1.0,-4.5593564232474556E-4]"
"0","3550308","1302603","-0.001960298918713569","[3550308,5300108,1302603]","[-1.0,-0.0659403561218135,-0.001960298918713569]"
"0","3550308","2408102","-2.6608963246667106E-4","[3550308,2408102]","[-1.0,-2.6608963246667106E-4]"
"0","3550308","1721000","-8.532019417482602E-4","[3550308,5208707,1721000]","[-1.0,-0.028147265320115168,-8.532019417482602E-4]"
"0","3550308","4314902","-0.06125579900203264","[3550308,4314902]","[-1.0,-0.06125579900203264]"
"0","3550308","1100205","-8.963264798477264E-4","[3550308,5300108,1100205]","[-1.0,-0.0659403561218135,-8.963264798477264E-4]"
"0","3550308","2611606","-0.01831446288412837","[3550308,2611606]","[-1.0,-0.01831446288412837]"
"0","3550308","1200401","-7.666510405040274E-4","[3550308,5300108,1200401]","[-1.0,-0.0659403561218135,-7.666510405040274E-4]"
"0","3550308","3304557","-0.1914498118571103","[3550308,3304557]","[-1.0,-0.1914498118571103]"
"0","3550308","2927408","-0.03136335439708387","[3550308,2927408]","[-1.0,-0.03136335439708387]"
"0","3550308","2111300","-0.001506539277569036","[3550308,5300108,2111300]","[-1.0,-0.0659403561218135,-0.001506539277569036]"
"0","3550308","3550308","-1.0","[3550308]","[-1.0]"
"0","3550308","2211001","-0.0015405427280237379","[3550308,5300108,2211001]","[-1.0,-0.0659403561218135,-0.0015405427280237379]"
"0","3550308","3205309","-0.023795518633050128","[3550308,3205309]","[-1.0,-0.023795518633050128]"
