"index","cod_mun_origem","cod_mun_destino","totalCost","cod_nos","costs"
"0","2910800","3100104","-3.887398365928142E-6","[2910800,3170206,3100104]","[-1.0,-0.006612016935411224,-3.887398365928142E-6]"
"0","2910800","5200100","-1.3465875475454492E-5","[2910800,2903904,5200100]","[-1.0,-0.0021259346004864426,-1.3465875475454492E-5]"
"0","2910800","3100203","-3.8908936163332395E-5","[2910800,3107406,3100203]","[-1.0,-0.002369155931898027,-3.8908936163332395E-5]"
"0","2910800","1500107","-1.2294355377472265E-5","[2910800,1501402,1500107]","[-1.0,-0.00438699216286821,-1.2294355377472265E-5]"
"0","2910800","2300101","-8.173686122377546E-6","[2910800,2307304,2300101]","[-1.0,-0.00251328709125304,-8.173686122377546E-6]"
"0","2910800","2900108","-9.624705325700207E-5","[2910800,2924306,2900108]","[-1.0,-3.6032789838753263E-4,-9.624705325700207E-5]"
"0","2910800","2900207","-2.612377263309612E-4","[2910800,2900207]","[-1.0,-2.612377263309612E-4]"
"0","2910800","4100103","-1.9339905676579626E-7","[2910800,4106902,4100103]","[-1.0,-0.0019547788487523647,-1.9339905676579626E-7]"
"0","2910800","4200051","-1.5061093201131375E-5","[2910800,4203253,4200051]","[-1.0,-0.0030988199261327808,-1.5061093201131375E-5]"
"0","2910800","1500131","-4.6975108424854704E-7","[2910800,2211001,1500131]","[-1.0,-0.03362760111701649,-4.6975108424854704E-7]"
"0","2910800","4200101","-2.9773206269202834E-6","[2910800,4300901,4307005,4200101]","[-1.0,-0.0068282136744437436,-9.437558414215779E-4,-2.9773206269202834E-6]"
"0","2910800","3100302","-6.442575990845459E-6","[2910800,3106200,3100302]","[-1.0,-0.029673002432213314,-6.442575990845459E-6]"
"0","2910800","1700251","-7.158656499496544E-7","[2910800,1721000,1700251]","[-1.0,-8.5577875867039E-4,-7.158656499496544E-7]"
"0","2910800","3100401","-4.81872485840903E-7","[2910800,3106200,3152105,3100401]","[-1.0,-0.029673002432213314,-1.6898897407297513E-4,-4.81872485840903E-7]"
"0","2910800","2100055","-6.0170843427836614E-5","[2910800,2211001,2100055]","[-1.0,-0.03362760111701649,-6.0170843427836614E-5]"
"0","2910800","2900306","-2.0718854157283128E-4","[2910800,2900306]","[-1.0,-2.0718854157283128E-4]"
"0","2910800","1500206","-2.6426674029810637E-7","[2910800,1501402,1500206]","[-1.0,-0.00438699216286821,-2.6426674029810637E-7]"
"0","2910800","2300200","-6.967724929226118E-6","[2910800,2312908,2300200]","[-1.0,-0.0016575083325826503,-6.967724929226118E-6]"
"0","2910800","2400109","-2.7549341745648734E-5","[2910800,2403103,2400109]","[-1.0,-4.0536888568597424E-4,-2.7549341745648734E-5]"
"0","2910800","2200053","-6.899649416408166E-5","[2910800,2611101,2200053]","[-1.0,-0.031114314025763444,-6.899649416408166E-5]"
"0","2910800","2300309","-1.080983695162598E-4","[2910800,2300309]","[-1.0,-1.080983695162598E-4]"
"0","2910800","5100102","-5.000671635237717E-6","[2910800,5103403,5100102]","[-1.0,-4.6842626790379244E-4,-5.000671635237717E-6]"
"0","2910800","1200013","-3.402105901432666E-8","[2910800,5300108,1200401,1200013]","[-1.0,-0.012701558418160525,-1.4767380023421154E-4,-3.402105901432666E-8]"
"0","2910800","5200134","-3.426603734665948E-6","[2910800,5218805,5200134]","[-1.0,-2.4322133141158454E-4,-3.426603734665948E-6]"
"0","2910800","2400208","-1.9940736685725398E-5","[2910800,2408003,2400208]","[-1.0,-0.0117196648950545,-1.9940736685725398E-5]"
"0","2910800","3100500","-5.633341694880527E-5","[2910800,3131307,3100500]","[-1.0,-0.018430772002522296,-5.633341694880527E-5]"
"0","2910800","5200159","-1.0498033472477036E-6","[2910800,5208707,5200159]","[-1.0,-0.005612107017385821,-1.0498033472477036E-6]"
"0","2910800","3500204","-2.2295636617213972E-6","[2910800,3549805,3500204]","[-1.0,-0.0085577875867039,-2.2295636617213972E-6]"
"0","2910800","2900355","-1.7115575173407802E-4","[2910800,2900355]","[-1.0,-1.7115575173407802E-4]"
"0","2910800","2600104","-1.080983695162598E-4","[2910800,2600104]","[-1.0,-1.080983695162598E-4]"
"0","2910800","2400307","-6.619710363156098E-7","[2910800,2408003,2408102,2400307]","[-1.0,-0.0117196648950545,-5.835866974996699E-4,-6.619710363156098E-7]"
"0","2910800","3200102","-3.7476424810856835E-6","[2910800,3304557,3200102]","[-1.0,-0.02419601837672282,-3.7476424810856835E-6]"
"0","2910800","2100105","-2.399453932422919E-8","[2910800,2211001,2103307,2103406,2100105]","[-1.0,-0.03362760111701649,-1.6800006958488946E-4,-1.77559590999296E-6,-2.399453932422919E-8]"
"0","2910800","2600203","-1.6110681387313067E-4","[2910800,2611101,2600203]","[-1.0,-0.031114314025763444,-1.6110681387313067E-4]"
"0","2910800","1500305","-7.281042184108525E-8","[2910800,1501402,1600303,1500305]","[-1.0,-0.00438699216286821,-5.230243523345027E-4,-7.281042184108525E-8]"
"0","2910800","2600302","-3.530357298672744E-5","[2910800,2604106,2600302]","[-1.0,-0.0032970002702459237,-3.530357298672744E-5]"
"0","2910800","2200103","-1.8918157302009665E-5","[2910800,2211001,2200103]","[-1.0,-0.03362760111701649,-1.8918157302009665E-5]"
"0","2910800","4200200","-9.072969317972323E-7","[2910800,4203253,4209300,4218608,4200200]","[-1.0,-0.0030988199261327808,-6.890450139517605E-4,-8.98484334667193E-6,-9.072969317972323E-7]"
"0","2910800","1500347","-3.047400248482668E-7","[2910800,1501402,1500347]","[-1.0,-0.00438699216286821,-3.047400248482668E-7]"
"0","2910800","3100609","-9.591822401706018E-6","[2910800,3106200,3100609]","[-1.0,-0.029673002432213314,-9.591822401706018E-6]"
"0","2910800","5100201","-5.79133111688957E-6","[2910800,5211909,5100201]","[-1.0,-6.485902170975588E-4,-5.79133111688957E-6]"
"0","2910800","2200202","-1.4027629238067943E-5","[2910800,2211001,2201408,2200202]","[-1.0,-0.03362760111701649,-4.488258086774754E-5,-1.4027629238067943E-5]"
"0","2910800","2500106","-1.8458633001709252E-6","[2910800,2614600,2500106]","[-1.0,-5.40491847581299E-5,-1.8458633001709252E-6]"
"0","2910800","2700102","-1.3806247896111776E-5","[2910800,2700300,2700102]","[-1.0,-0.006557967750653094,-1.3806247896111776E-5]"
"0","2910800","5000203","-1.6957244751120484E-6","[2910800,3549805,5000203]","[-1.0,-0.0085577875867039,-1.6957244751120484E-6]"
"0","2910800","3100708","-2.8666599578243506E-6","[2910800,3549805,3505500,3100708]","[-1.0,-0.0085577875867039,-1.969238552486603E-4,-2.8666599578243506E-6]"
"0","2910800","4200408","-7.093654431088801E-8","[2910800,4300901,4307005,4209003,4200408]","[-1.0,-0.0068282136744437436,-9.437558414215779E-4,-2.3398452288864312E-5,-7.093654431088801E-8]"
"0","2910800","2100154","-7.561872016214391E-7","[2910800,2312908,2100154]","[-1.0,-0.0016575083325826503,-7.561872016214391E-7]"
"0","2910800","3200169","-1.3421923018044968E-7","[2910800,3131307,3200904,3200169]","[-1.0,-0.018430772002522296,-1.4477780962131173E-5,-1.3421923018044968E-7]"
"0","2910800","2900405","-0.003738401945770651","[2910800,2900405]","[-1.0,-0.003738401945770651]"
"0","2910800","5200175","-4.6107216032508096E-7","[2910800,5300108,5200175]","[-1.0,-0.012701558418160525,-4.6107216032508096E-7]"
"0","2910800","5200209","-2.856765745828928E-6","[2910800,5208707,5200209]","[-1.0,-0.005612107017385821,-2.856765745828928E-6]"
"0","2910800","2400406","-6.9518164592437165E-6","[2910800,2408003,2400406]","[-1.0,-0.0117196648950545,-6.9518164592437165E-6]"
"0","2910800","2600401","-2.519686362764234E-6","[2910800,2611606,2600401]","[-1.0,-0.020304477074137465,-2.519686362764234E-6]"
"0","2910800","4300059","-5.448477213284205E-8","[2910800,3550308,4314902,4300059]","[-1.0,-0.05923790649491037,-0.0036286652935534334,-5.448477213284205E-8]"
"0","2910800","3500303","-4.5924507489111425E-7","[2910800,3550308,3500303]","[-1.0,-0.05923790649491037,-4.5924507489111425E-7]"
"0","2910800","3100807","-5.784213958511368E-7","[2910800,3106200,3111200,3100807]","[-1.0,-0.029673002432213314,-2.301214044014448E-5,-5.784213958511368E-7]"
"0","2910800","2600500","-2.612377263309612E-4","[2910800,2600500]","[-1.0,-2.612377263309612E-4]"
