cod_destino,cod_origem,passageiros_rodov_pred_log,passageiros_rodov_pred
1302603,1304260,1.0894328,12
1302603,1302801,0.4881983,3
1302603,1500404,1.0837058,12
1302603,1504802,1.2705882,18
1302603,1506005,0.8045733,6
1302603,1501808,0.6178739,4
1302603,1503101,1.5895044,38
1302603,1501402,0.0774042,1
1302603,1505106,1.4676907,29
1302603,1304104,1.3720984,23
1302603,1303007,1.902016,79
1302603,1506807,0.39043182,2
1302603,1302900,2.2440352,175
1302603,1507979,1.6791031,47
1302603,1304062,1.2793281,19
1302603,1303205,2.6305432,427
1302603,1303106,3.413262,2589
1302603,1302702,2.3675795,233
1302603,1303403,1.8419418,69
1302603,1303908,2.0857003,121
1302603,1304005,1.9685029,93
1302603,1303700,1.5774481,37
1302603,1400456,1.9158067,82
1302603,1400233,1.6048857,40
1302603,1503903,2.0583124,114
1302603,1304203,2.1058824,127
1302603,1304237,1.8007033,63
1302603,1304302,2.2700474,186
1302603,1505304,0.4954486,3
1302603,1303569,2.7789857,601
1302603,1303809,2.0902452,123
1302603,1400308,2.8444302,698
1302603,1400209,3.0708237,1177
1302603,1400100,4.1165237,13077
1302603,1400472,3.4304688,2694
1302603,1303957,2.6398625,436
1302603,1303536,2.8910017,778
1302603,1303304,1.8907496,77
1302603,1303601,1.8930554,78
1302603,1302108,1.1324433,13
1302603,1300029,1.4282243,26
1302603,1300904,0.8606994,7
1302603,1300300,2.2193992,165
1302603,1300839,1.6503924,44
1302603,1300631,2.3572211,227
1302603,1301308,2.48128,302
1302603,1302207,1.2178524,16
1302603,1300102,2.5522473,356
1302603,1301209,1.8405995,69
1302603,1301159,1.5026274,31
1302603,1300607,2.130971,135
1302603,1301605,1.8436002,69
1302603,1301852,2.2094624,161
1302603,1300060,1.803378,63
1302603,1100155,1.096731,12
1302603,1301704,1.7117996,51
1302603,1302405,1.8409344,69
1302603,1302009,2.282578,191
1302603,1301001,1.5655655,36
1302603,1301902,2.352303,225
1302603,1100205,2.3200014,208
1302603,1100023,2.0715687,117
1302603,1300086,2.3438127,220
1302603,1200401,0.3676528,2
1302603,1300409,2.102886,126
1302603,1302306,1.8598175,72
1302603,1302504,2.6447287,441
1302603,1300680,2.2339325,171
1302603,1300805,3.1777837,1505
1302603,1300508,3.09629,1248
1302603,1302553,3.332572,2150
1300029,1304260,1.1420487,13
1300029,1304203,2.4211156,263
1300029,1301308,0.7232401,5
1300029,1301209,0.4185782,2
1300029,1302603,2.0115728,102
1301308,1304260,0.452278,2
1301308,1304062,0.543846,3
1301308,1303908,0.820373,6
1301308,1303700,0.4111428,2
1301308,1304203,1.22061,16
1301308,1304237,0.64620286,4
1301308,1300029,0.49409044,3
1301308,1302207,0.0,1
1301308,1301209,0.56918794,3
1301308,1300607,0.53321034,3
1301308,1301605,0.23250002,1
