crescente,date,day,decrescente,point,survey,total
510,02/07,1,504,211,5,1014
431,03/07,2,473,211,5,904
582,04/07,3,536,211,5,1118
513,05/07,4,561,211,5,1074
646,06/07,5,615,211,5,1261
581,07/07,6,630,211,5,1211
639,08/07,7,644,211,5,1283
13924,02/07,1,12386,92,5,26310
14294,03/07,2,14670,92,5,28964
12422,04/07,3,14293,92,5,26715
13716,05/07,4,13625,92,5,27341
12980,06/07,5,13986,92,5,26966
13436,07/07,6,14187,92,5,27623
15636,08/07,7,15345,92,5,30981
1357,02/07,1,1547,207,5,2904
1293,03/07,2,1142,207,5,2435
1586,04/07,3,1590,207,5,3176
1482,05/07,4,1567,207,5,3049
1454,06/07,5,1569,207,5,3023
1549,07/07,6,1445,207,5,2994
1764,08/07,7,1736,207,5,3500
11028,02/07,1,10355,94,5,21383
9397,03/07,2,12098,94,5,21495
9093,04/07,3,9278,94,5,18371
9049,05/07,4,9472,94,5,18521
8913,06/07,5,9667,94,5,18580
9042,07/07,6,8504,94,5,17546
11159,08/07,7,10256,94,5,21415
10179,02/07,1,10889,95,5,21068
11385,03/07,2,10301,95,5,21686
10882,04/07,3,10433,95,5,21315
10863,05/07,4,10947,95,5,21810
11016,06/07,5,11401,95,5,22417
11026,07/07,6,11336,95,5,22362
12247,08/07,7,13655,95,5,25902
3173,02/07,1,3555,49,5,6728
2925,03/07,2,3305,49,5,6230
3462,04/07,3,2852,49,5,6314
3418,05/07,4,3176,49,5,6594
3396,06/07,5,3118,49,5,6514
3445,07/07,6,3686,49,5,7131
3783,08/07,7,4132,49,5,7915
7446,02/07,1,9582,263,5,17028
10923,03/07,2,6755,263,5,17678
8375,04/07,3,7235,263,5,15610
7316,05/07,4,7667,263,5,14983
7393,06/07,5,7134,263,5,14527
7825,07/07,6,7678,263,5,15503
8853,08/07,7,10772,263,5,19625
1939,02/07,1,1902,214,5,3841
1814,03/07,2,1628,214,5,3442
1827,04/07,3,1766,214,5,3593
1640,05/07,4,1765,214,5,3405
1731,06/07,5,1740,214,5,3471
1844,07/07,6,1701,214,5,3545
1872,08/07,7,1846,214,5,3718
3348,02/07,1,3116,67,5,6464
2827,03/07,2,3322,67,5,6149
3048,04/07,3,2940,67,5,5988
3300,05/07,4,3227,67,5,6527
3154,06/07,5,3241,67,5,6395
3375,07/07,6,3335,67,5,6710
3704,08/07,7,3356,67,5,7060
8496,02/07,1,6362,66,5,14858
7236,03/07,2,9428,66,5,16664
5668,04/07,3,7002,66,5,12670
7743,05/07,4,7853,66,5,15596
7085,06/07,5,7122,66,5,14207
7890,07/07,6,7329,66,5,15219
7877,08/07,7,6264,66,5,14141
1788,02/07,1,1925,87,5,3713
2044,03/07,2,1574,87,5,3618
1716,04/07,3,1962,87,5,3678
1792,05/07,4,1861,87,5,3653
1694,06/07,5,1629,87,5,3323
2037,07/07,6,1760,87,5,3797
2510,08/07,7,2487,87,5,4997
1638,02/07,1,1932,269,5,3570
1381,03/07,2,1224,269,5,2605
1408,04/07,3,1674,269,5,3082
1421,05/07,4,1533,269,5,2954
1417,06/07,5,1474,269,5,2891
1700,07/07,6,1573,269,5,3273
2096,08/07,7,2162,269,5,4258
2019,02/07,1,2342,273,5,4361
1812,03/07,2,1799,273,5,3611
2455,04/07,3,2536,273,5,4991
2435,05/07,4,2602,273,5,5037
2578,06/07,5,2399,273,5,4977
2817,07/07,6,2425,273,5,5242
2787,08/07,7,2917,273,5,5704
3185,02/07,1,2702,119,5,5887
2469,03/07,2,2760,119,5,5229
2707,04/07,3,3180,119,5,5887
3327,05/07,4,3382,119,5,6709
3453,06/07,5,3404,119,5,6857
3948,07/07,6,3737,119,5,7685
4170,08/07,7,3186,119,5,7356
3333,02/07,1,3255,237,5,6588
3207,03/07,2,2722,237,5,5929
3482,04/07,3,3400,237,5,6882
3584,05/07,4,3577,237,5,7161
3810,06/07,5,3648,237,5,7458
4038,07/07,6,3705,237,5,7743
3994,08/07,7,4073,237,5,8067
2071,02/07,1,2055,115,5,4126
2026,03/07,2,1753,115,5,3779
2052,04/07,3,1529,115,5,3581
2144,05/07,4,1873,115,5,4017
2231,06/07,5,1948,115,5,4179
2058,07/07,6,2062,115,5,4120
2055,08/07,7,2425,115,5,4480
4129,02/07,1,4527,85,5,8656
3922,03/07,2,4459,85,5,8381
4297,04/07,3,3658,85,5,7955
4067,05/07,4,3407,85,5,7474
3468,06/07,5,3633,85,5,7101
3686,07/07,6,3957,85,5,7643
4183,08/07,7,4424,85,5,8607
2312,02/07,1,2519,84,5,4831
2319,03/07,2,2029,84,5,4348
2507,04/07,3,2594,84,5,5101
2850,05/07,4,2915,84,5,5765
2519,06/07,5,2480,84,5,4999
2784,07/07,6,2863,84,5,5647
2813,08/07,7,2732,84,5,5545
2893,02/07,1,3054,275,5,5947
2152,03/07,2,2558,275,5,4710
3273,04/07,3,3059,275,5,6332
3212,05/07,4,3003,275,5,6215
3238,06/07,5,3396,275,5,6634
3417,07/07,6,3437,275,5,6854
3454,08/07,7,3687,275,5,7141
2651,02/07,1,2806,2,5,5457
2369,03/07,2,1967,2,5,4336
2985,04/07,3,2581,2,5,5566
2965,05/07,4,2855,2,5,5820
3011,06/07,5,3187,2,5,6198
3089,07/07,6,3128,2,5,6217
3322,08/07,7,3398,2,5,6720
3496,02/07,1,4074,296,5,7570
3695,03/07,2,3191,296,5,6886
3318,04/07,3,3432,296,5,6750
3366,05/07,4,3212,296,5,6578
3439,06/07,5,3361,296,5,6800
3604,07/07,6,3557,296,5,7161
3708,08/07,7,3924,296,5,7632
6158,02/07,1,7049,48,5,13207
5209,03/07,2,5254,48,5,10463
7128,04/07,3,6987,48,5,14115
7341,05/07,4,7597,48,5,14938
8017,06/07,5,7439,48,5,15456
7727,07/07,6,7197,48,5,14924
8941,08/07,7,7524,48,5,16465
4772,02/07,1,5009,53,5,9781
4677,03/07,2,4125,53,5,8802
4417,04/07,3,3929,53,5,8346
4402,05/07,4,4438,53,5,8840
4530,06/07,5,4636,53,5,9166
4880,07/07,6,4419,53,5,9299
5273,08/07,7,5104,53,5,10377
2322,02/07,1,2264,121,5,4586
1877,03/07,2,1699,121,5,3576
2512,04/07,3,2214,121,5,4726
2467,05/07,4,2186,121,5,4653
2390,06/07,5,2351,121,5,4741
2540,07/07,6,2380,121,5,4920
2486,08/07,7,2060,121,5,4546
1471,02/07,1,1809,52,5,3280
1493,03/07,2,1627,52,5,3120
1509,04/07,3,1770,52,5,3279
1454,05/07,4,1739,52,5,3193
1530,06/07,5,2135,52,5,3665
1566,07/07,6,1961,52,5,3527
1986,08/07,7,1752,52,5,3738
907,02/07,1,999,262,5,1906
1082,03/07,2,736,262,5,1818
981,04/07,3,685,262,5,1666
929,05/07,4,791,262,5,1720
913,06/07,5,773,262,5,1686
846,07/07,6,872,262,5,1718
936,08/07,7,954,262,5,1890
629,02/07,1,697,209,5,1326
638,03/07,2,583,209,5,1221
707,04/07,3,453,209,5,1160
711,05/07,4,589,209,5,1300
631,06/07,5,666,209,5,1297
664,07/07,6,677,209,5,1341
702,08/07,7,881,209,5,1583
8964,02/07,1,9721,112,5,18685
10882,03/07,2,8503,112,5,19385
8711,04/07,3,8842,112,5,17553
8833,05/07,4,8133,112,5,16966
8206,06/07,5,8275,112,5,16481
8170,07/07,6,8344,112,5,16514
