C1,C2,C3,C4,C5,M,O1,O2,O3,P1,P2,P3,R1,R2,R3,R4,R5,R6,S1,S2,S3,S4,S5,S6,SE1,SE2,SE3,SE4,SE5,day,hora,point,sentido,survey,vh
0,0,0,0,0,2,0,1,0,20,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,146,C,7,26
0,0,0,0,0,0,0,1,0,22,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,146,C,7,28
1,0,0,0,0,2,0,0,1,14,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,146,D,7,24
0,0,0,0,0,1,0,1,0,23,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,146,D,7,29
0,2,0,0,0,0,0,2,1,29,1,5,0,0,0,0,0,0,0,0,1,0,0,3,0,0,0,0,0,1,2,146,C,7,44
0,0,0,0,0,1,0,0,0,14,0,2,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,1,3,146,C,7,20
0,0,0,0,0,0,0,0,0,14,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,146,D,7,15
0,0,0,0,0,0,0,1,0,11,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,3,146,D,7,15
1,1,0,2,1,1,0,0,0,30,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,4,146,C,7,36
0,1,1,0,0,0,1,0,0,23,0,7,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,1,5,146,C,7,35
0,0,0,0,0,0,1,0,0,6,1,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,4,146,D,7,10
2,2,0,1,0,3,3,2,0,18,0,7,0,0,0,0,0,0,0,0,0,0,0,1,0,3,0,0,0,1,5,146,D,7,42
3,1,0,0,0,0,0,0,0,24,0,13,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,6,146,C,7,42
0,1,0,0,0,2,0,0,0,49,0,6,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,7,146,C,7,59
0,0,0,0,0,11,5,0,0,29,0,12,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,1,6,146,D,7,60
1,2,0,0,0,1,1,0,0,46,0,17,0,0,0,0,0,0,0,0,1,0,0,1,2,0,0,0,0,1,7,146,D,7,72
3,1,0,0,0,2,0,0,0,59,0,19,0,0,0,0,0,0,0,3,0,0,0,3,0,0,0,0,0,1,8,146,C,7,90
1,2,0,0,0,4,0,0,0,75,0,19,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,1,1,9,146,C,7,105
0,0,0,0,3,3,0,0,0,51,0,7,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,8,146,D,7,65
4,1,0,1,0,0,1,0,0,48,0,13,0,0,0,0,0,0,0,0,0,0,0,2,1,0,0,0,0,1,9,146,D,7,71
4,3,0,0,0,4,0,0,0,70,1,15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,10,146,C,7,97
1,1,0,1,2,8,0,0,0,64,0,10,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,1,11,146,C,7,89
1,2,0,0,0,4,0,0,0,51,0,13,0,0,0,0,0,0,0,0,0,0,0,3,0,1,0,0,0,1,10,146,D,7,75
3,7,0,0,0,2,0,0,0,59,0,21,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,11,146,D,7,92
1,0,1,0,0,1,2,1,0,85,2,10,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,1,12,146,C,7,105
3,0,0,0,0,1,0,0,0,63,1,15,0,0,0,0,0,0,0,0,1,0,1,3,1,0,0,0,0,1,13,146,C,7,89
4,2,0,0,1,1,0,0,0,49,0,9,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,12,146,D,7,67
5,4,0,0,3,2,0,0,0,24,0,10,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,1,13,146,D,7,50
1,4,0,0,2,1,0,0,0,34,0,8,0,0,0,0,0,0,0,0,0,0,0,1,2,0,0,0,0,1,14,146,C,7,53
3,2,0,0,0,2,2,0,0,67,0,18,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,15,146,C,7,95
3,1,0,0,0,3,0,0,0,32,0,12,0,0,0,0,0,0,3,0,0,0,0,2,2,0,0,0,0,1,14,146,D,7,58
3,2,0,0,0,2,2,0,0,42,0,14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,15,146,D,7,65
0,4,0,0,2,5,4,0,0,71,0,15,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,1,16,146,C,7,103
0,0,0,0,0,1,4,0,0,54,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,17,146,C,7,62
1,1,0,1,1,2,3,1,0,44,1,8,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,1,16,146,D,7,65
4,1,0,1,0,3,0,0,0,50,0,10,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,1,17,146,D,7,71
1,2,0,0,0,5,4,0,0,60,0,2,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,18,146,C,7,75
1,0,0,0,0,5,0,0,0,45,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,19,146,C,7,51
0,1,0,0,0,2,1,0,0,62,0,2,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,1,18,146,D,7,70
2,0,0,1,0,3,0,0,0,38,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,19,146,D,7,45
0,0,0,0,0,0,0,1,0,38,0,1,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,1,20,146,C,7,42
0,1,0,0,0,0,0,2,0,23,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,21,146,C,7,27
1,1,0,0,0,0,0,0,0,34,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,1,20,146,D,7,38
0,1,0,0,0,1,0,0,0,21,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,21,146,D,7,26
0,2,0,0,0,1,0,0,1,16,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,22,146,C,7,22
0,0,0,0,0,0,0,0,0,14,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,23,146,C,7,18
1,0,0,0,1,0,0,0,0,16,0,4,0,0,0,0,0,0,1,0,0,0,1,1,1,0,0,0,0,1,22,146,D,7,26
2,1,0,0,0,2,0,1,0,7,1,3,0,0,0,0,0,0,0,1,0,0,7,3,1,0,3,0,2,1,0,55,C,7,34
3,0,0,2,0,0,2,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,5,4,1,0,6,0,0,1,1,55,C,7,26
1,3,1,0,0,1,0,2,1,2,0,0,0,0,0,0,0,0,5,1,2,0,1,5,1,0,5,0,0,1,0,55,D,7,31
0,3,0,0,0,1,0,0,2,6,0,0,0,0,0,0,0,0,0,1,0,0,1,1,3,0,2,0,0,1,1,55,D,7,20
