classe,percentage,point,survey,total
Veículo Leve,70.0,19,8,40951.0
Moto,2.6,19,8,1511.0
Ônibus,3.9,19,8,2265.0
Caminhão Leve,9.4,19,8,5504.0
Truck,0.6,19,8,361.0
Semirreboques,8.1,19,8,4715.0
Semirreboques Especiais,5.3,19,8,3113.0
Reboques,0.1,19,8,82.0
Veículo Leve,36.1,215,8,24648.0
Moto,1.9,215,8,1326.0
Ônibus,2.1,215,8,1403.0
Caminhão Leve,8.8,215,8,5982.0
Truck,0.3,215,8,223.0
Semirreboques,17.7,215,8,12082.0
Semirreboques Especiais,32.6,215,8,22264.0
Reboques,0.5,215,8,360.0
Veículo Leve,75.3,73,8,71924.0
Moto,2.8,73,8,2670.0
Ônibus,2.7,73,8,2585.0
Caminhão Leve,9.9,73,8,9489.0
Truck,0.3,73,8,267.0
Semirreboques,8.1,73,8,7764.0
Semirreboques Especiais,0.8,73,8,775.0
Reboques,0.1,73,8,90.0
Veículo Leve,63.9,149,8,25328.0
Moto,1.4,149,8,559.0
Ônibus,3.2,149,8,1250.0
Caminhão Leve,11.8,149,8,4690.0
Truck,0.2,149,8,76.0
Semirreboques,15.3,149,8,6059.0
Semirreboques Especiais,4.1,149,8,1621.0
Reboques,0.1,149,8,45.0
Veículo Leve,81.3,32,8,264702.0
Moto,3.0,32,8,9712.0
Ônibus,2.1,32,8,6791.0
Caminhão Leve,6.7,32,8,21796.0
Truck,0.2,32,8,713.0
Semirreboques,6.2,32,8,20170.0
Semirreboques Especiais,0.5,32,8,1570.0
Reboques,0.0,32,8,75.0
Veículo Leve,68.1,294,8,34683.0
Moto,1.9,294,8,964.0
Ônibus,2.0,294,8,1041.0
Caminhão Leve,9.5,294,8,4839.0
Truck,0.2,294,8,100.0
Semirreboques,9.5,294,8,4818.0
Semirreboques Especiais,8.3,294,8,4235.0
Reboques,0.5,294,8,271.0
Veículo Leve,71.7,131,8,21843.0
Moto,8.7,131,8,2665.0
Ônibus,2.9,131,8,874.0
Caminhão Leve,11.7,131,8,3572.0
Truck,0.2,131,8,73.0
Semirreboques,3.6,131,8,1102.0
Semirreboques Especiais,1.1,131,8,345.0
Reboques,0.0,131,8,5.0
Veículo Leve,57.0,116,8,92099.0
Moto,3.2,116,8,5130.0
Ônibus,1.9,116,8,3093.0
Caminhão Leve,9.5,116,8,15413.0
Truck,0.3,116,8,555.0
Semirreboques,21.9,116,8,35403.0
Semirreboques Especiais,6.1,116,8,9902.0
Reboques,0.0,116,8,77.0
Veículo Leve,50.4,181,8,10776.0
Moto,1.5,181,8,330.0
Ônibus,2.9,181,8,630.0
Caminhão Leve,13.2,181,8,2822.0
Truck,0.4,181,8,87.0
Semirreboques,21.9,181,8,4689.0
Semirreboques Especiais,9.4,181,8,2013.0
Reboques,0.2,181,8,34.0
Veículo Leve,65.3,3,8,71051.0
Moto,8.5,3,8,9285.0
Ônibus,2.9,3,8,3132.0
Caminhão Leve,11.4,3,8,12379.0
Truck,0.2,3,8,176.0
Semirreboques,9.3,3,8,10084.0
Semirreboques Especiais,2.2,3,8,2430.0
Reboques,0.2,3,8,243.0
Veículo Leve,45.4,4,8,19078.0
Moto,5.6,4,8,2334.0
Ônibus,2.9,4,8,1219.0
Caminhão Leve,18.5,4,8,7763.0
Truck,0.3,4,8,118.0
Semirreboques,20.4,4,8,8579.0
Semirreboques Especiais,6.1,4,8,2573.0
Reboques,0.8,4,8,335.0
Veículo Leve,66.9,221,8,7093.0
Moto,6.9,221,8,736.0
Ônibus,1.7,221,8,182.0
Caminhão Leve,16.8,221,8,1776.0
Truck,0.1,221,8,15.0
Semirreboques,4.8,221,8,504.0
Semirreboques Especiais,2.7,221,8,285.0
Reboques,0.1,221,8,10.0
Veículo Leve,63.1,8,8,74875.0
Moto,6.0,8,8,7156.0
Ônibus,3.2,8,8,3838.0
Caminhão Leve,12.8,8,8,15233.0
Truck,0.2,8,8,277.0
Semirreboques,11.9,8,8,14091.0
Semirreboques Especiais,2.6,8,8,3097.0
Reboques,0.1,8,8,127.0
Veículo Leve,58.0,179,8,33318.0
Moto,7.2,179,8,4151.0
Ônibus,3.8,179,8,2160.0
Caminhão Leve,13.1,179,8,7530.0
Truck,0.4,179,8,217.0
Semirreboques,14.0,179,8,8038.0
Semirreboques Especiais,3.3,179,8,1883.0
Reboques,0.3,179,8,171.0
Veículo Leve,60.0,219,8,13807.0
Moto,26.8,219,8,6170.0
Ônibus,1.3,219,8,305.0
Caminhão Leve,10.3,219,8,2369.0
Truck,0.8,219,8,173.0
Semirreboques,0.5,219,8,121.0
Semirreboques Especiais,0.2,219,8,56.0
Reboques,0.0,219,8,2.0
Veículo Leve,62.6,141,8,28555.0
Moto,4.9,141,8,2257.0
Ônibus,3.1,141,8,1404.0
Caminhão Leve,12.5,141,8,5710.0
Truck,0.3,141,8,158.0
Semirreboques,9.3,141,8,4218.0
Semirreboques Especiais,7.1,141,8,3237.0
Reboques,0.1,141,8,58.0
Veículo Leve,56.3,175,8,17903.0
Moto,6.4,175,8,2029.0
Ônibus,3.5,175,8,1113.0
Caminhão Leve,14.2,175,8,4521.0
Truck,0.2,175,8,52.0
Semirreboques,16.2,175,8,5142.0
Semirreboques Especiais,2.9,175,8,907.0
Reboques,0.4,175,8,124.0
Veículo Leve,69.7,75,8,201925.0
Moto,2.1,75,8,6175.0
Ônibus,5.3,75,8,15326.0
Caminhão Leve,7.8,75,8,22494.0
Truck,0.4,75,8,1092.0
Semirreboques,12.6,75,8,36576.0
Semirreboques Especiais,1.9,75,8,5512.0
Reboques,0.2,75,8,462.0
Veículo Leve,76.5,251,8,45212.0
Moto,4.9,251,8,2878.0
Ônibus,3.7,251,8,2164.0
Caminhão Leve,10.1,251,8,5961.0
Truck,0.5,251,8,269.0
Semirreboques,3.5,251,8,2096.0
Semirreboques Especiais,0.6,251,8,371.0
Reboques,0.3,251,8,149.0
Veículo Leve,64.9,174,8,6363.0
Moto,9.8,174,8,961.0
Ônibus,2.7,174,8,263.0
Caminhão Leve,12.9,174,8,1265.0
Truck,0.2,174,8,22.0
Semirreboques,9.0,174,8,878.0
Semirreboques Especiais,0.3,174,8,31.0
Reboques,0.2,174,8,16.0
Veículo Leve,45.9,229,8,6168.0
Moto,28.3,229,8,3804.0
Ônibus,1.5,229,8,197.0
Caminhão Leve,10.7,229,8,1434.0
Truck,0.3,229,8,37.0
Semirreboques,6.9,229,8,929.0
Semirreboques Especiais,6.3,229,8,851.0
Reboques,0.1,229,8,8.0
Veículo Leve,72.5,137,8,14088.0
Moto,12.7,137,8,2471.0
Ônibus,3.3,137,8,644.0
Caminhão Leve,10.4,137,8,2010.0
Truck,0.1,137,8,26.0
Semirreboques,0.8,137,8,164.0
Semirreboques Especiais,0.0,137,8,4.0
Reboques,0.1,137,8,13.0
Veículo Leve,53.9,183,8,20618.0
Moto,1.4,183,8,533.0
Ônibus,2.2,183,8,826.0
Caminhão Leve,14.4,183,8,5491.0
Truck,0.4,183,8,146.0
Semirreboques,19.6,183,8,7496.0
Semirreboques Especiais,8.1,183,8,3089.0
Reboques,0.1,183,8,42.0
Veículo Leve,65.6,151,8,43386.0
Moto,2.2,151,8,1473.0
Ônibus,2.5,151,8,1673.0
Caminhão Leve,11.1,151,8,7340.0
Truck,0.1,151,8,99.0
Semirreboques,13.0,151,8,8602.0
Semirreboques Especiais,5.0,151,8,3309.0
Reboques,0.3,151,8,221.0
Veículo Leve,51.7,238,8,13490.0
Moto,1.3,238,8,348.0
Ônibus,1.7,238,8,455.0
Caminhão Leve,15.8,238,8,4110.0
Truck,0.5,238,8,139.0
Semirreboques,20.8,238,8,5436.0
Semirreboques Especiais,7.6,238,8,1987.0
Reboques,0.4,238,8,107.0
Veículo Leve,35.3,197,8,13297.0
Moto,0.8,197,8,294.0
Ônibus,1.7,197,8,640.0
Caminhão Leve,17.4,197,8,6567.0
Truck,0.4,197,8,133.0
Semirreboques,32.8,197,8,12360.0
Semirreboques Especiais,11.4,197,8,4295.0
Reboques,0.2,197,8,76.0
Veículo Leve,66.0,284,8,45059.0
Moto,1.6,284,8,1106.0
Ônibus,2.0,284,8,1368.0
Caminhão Leve,11.5,284,8,7874.0
Truck,0.3,284,8,222.0
Semirreboques,14.4,284,8,9837.0
Semirreboques Especiais,4.0,284,8,2729.0
Reboques,0.1,284,8,84.0
Veículo Leve,44.5,107,8,13985.0
Moto,6.1,107,8,1904.0
